document_id,file_path,sha256,language,genre,brief_id,topic_id,origin_class,author_or_model_id,model_provider,model_exact_id,model_release_or_snapshot,created_at,generation_date,human_publication_date,source_platform,prompt_id,prompt_condition,system_prompt_hash,user_prompt_hash,temperature,top_p,top_k,repetition_penalty,seed,browsing_or_rag,repeat_index,editing_level,editor_type,edit_actor,edit_minutes,edit_instruction,translation_chain,word_count,char_count,preprocessing_profile,license_status,consent_or_public_basis,leakage_group,revision_family_id,dedup_cluster_id,split_group_author,split_group_source,split_group_topic,annotation_batch_id,abstention_reason,status,notes,generation_channel,model_family,model_id_reported,provider,access_method,wrapper_name,wrapper_version,system_prompt_visibility,raw_payload_available,sampling_parameters_known,technical_validity,length_instruction_compliance,hh_subgroups
human_seo_author_archive_0001,04-corpus/raw-human/author_archive/human_seo_author_archive_0001.txt,d4d4f35c40e24e1c9b4e8c219c80b64490434c89ad19d6f01efc3eaa3db05f14,ru,seo,,,H,author_0051,,,,,,2016-01-19,author_archive,,,,,,,,,,,,,,,,,,1434,8966,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0001,85c3ce586f78fc4e,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_seo_author_archive_0002,04-corpus/raw-human/author_archive/human_seo_author_archive_0002.txt,951a15098bc381ab824c7b45d10df7208d1c467cf17fab03a046224ae872a594,ru,seo,,,H,author_0051,,,,,,2016-01-24,author_archive,,,,,,,,,,,,,,,,,,2484,17746,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0002,3ab62b01d61d8ef6,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_seo_author_archive_0003,04-corpus/raw-human/author_archive/human_seo_author_archive_0003.txt,f3240deecb35de5ff858ac30e2db28ad1338847ce95f9c90808cb4b6a0a4a1e8,ru,seo,,,H,author_0051,,,,,,2016-03-18,author_archive,,,,,,,,,,,,,,,,,,792,5232,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0003,315f0af430972c13,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_seo_author_archive_0004,04-corpus/raw-human/author_archive/human_seo_author_archive_0004.txt,250f15abc184d93a470aa444e8712b39ad721479d3c9b5973cef5873cd6d4987,ru,seo,,,H,author_0051,,,,,,2016-04-04,author_archive,,,,,,,,,,,,,,,,,,2312,18422,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0004,6a2b7ef2c7aed262,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_seo_author_archive_0005,04-corpus/raw-human/author_archive/human_seo_author_archive_0005.txt,32a10b7280f1dc311020ad405fe5e3aa01c47dd9de4b7419edaa35f1111829b1,ru,seo,,,H,author_0051,,,,,,2016-10-07,author_archive,,,,,,,,,,,,,,,,,,1096,7409,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0005,85f3442b9d7e6c92,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_seo_author_archive_0006,04-corpus/raw-human/author_archive/human_seo_author_archive_0006.txt,599bb2ebd29bc65094cf1037aaff10efb90179795893278d57b5c2db1618487c,ru,seo,,,H,author_0051,,,,,,2017-05-26,author_archive,,,,,,,,,,,,,,,,,,4736,31812,prose,права принадлежат PI,автор корпуса является правообладателем,author_archive,human_seo_author_archive_0006,c72d0c68f3672b67,author_0051,author_archive,,,,collected,"regulation_level=2; собственный архив PI: известны автор и дата, форма задана редакционным шаблоном сайта; дата: meta article:published_time; второе подтверждение даты не проставлено",,,,,,,,,,,,,
human_news_lenta_0001,04-corpus/raw-human/lenta/human_news_lenta_0001.txt,9c61ee9577c2936b8c9116c5a2fa4a9772051e927e4e2e50ccda618f3d7001a0,ru,news,,,H,author_0263,,,,,,2019-12-02,lenta,,,,,,,,,,,,,,,,,,704,5526,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0001,bf04617e6d9653b6,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0002,04-corpus/raw-human/lenta/human_news_lenta_0002.txt,6210415a681f980acc77579ea9924b52f091761e4f62778e314097e5235ac8fe,ru,news,,,H,author_0263,,,,,,2019-05-26,lenta,,,,,,,,,,,,,,,,,,758,5675,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0002,b2ff6a3d44b83593,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0004,04-corpus/raw-human/lenta/human_news_lenta_0004.txt,4df705ebfd2a9b9ed2b616cafc66bce35eeffae8fa4ccd85e7d9f8ebe0757670,ru,news,,,H,author_0263,,,,,,1999-11-03,lenta,,,,,,,,,,,,,,,,,,758,6013,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0004,56c1051f1a919f6d,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0007,04-corpus/raw-human/lenta/human_news_lenta_0007.txt,ebadea28a3ed5e4f8907582493ba4c722bc30de02309ca6a42c035a21b091b04,ru,news,,,H,author_0263,,,,,,2000-08-18,lenta,,,,,,,,,,,,,,,,,,1058,5694,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0007,9367dea59dbcc07c,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0009,04-corpus/raw-human/lenta/human_news_lenta_0009.txt,66f669ad27b90db601cc8825884b1b58eb91e56c80f0f166e216cccb9095a490,ru,news,,,H,author_0263,,,,,,2001-09-20,lenta,,,,,,,,,,,,,,,,,,973,6685,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0009,607bbc17cb289d24,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0010,04-corpus/raw-human/lenta/human_news_lenta_0010.txt,8d1868e952c4e987aa7786e59ce7569e4eb4ad0fd77b678632f34caf14cc9b0e,ru,news,,,H,author_0263,,,,,,2001-11-19,lenta,,,,,,,,,,,,,,,,,,1009,6410,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0010,1c6164e7a7d939e2,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0012,04-corpus/raw-human/lenta/human_news_lenta_0012.txt,cffea9a82a06bd76b6b52402cd48f859adc2f7490edfab093577d941d5b4cbcf,ru,news,,,H,author_0263,,,,,,2002-01-02,lenta,,,,,,,,,,,,,,,,,,796,5822,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0012,731f03c50d56633b,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0013,04-corpus/raw-human/lenta/human_news_lenta_0013.txt,bc4971f99940db75f77be414feed985f837a436c0a8d698b45b3a4d1ba7e6fae,ru,news,,,H,author_0263,,,,,,2002-02-06,lenta,,,,,,,,,,,,,,,,,,706,5199,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0013,43c80da249d22583,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0014,04-corpus/raw-human/lenta/human_news_lenta_0014.txt,1dbd5eeb688e53a11ed497a904ef24fffbd9e06e2bd7d35df55e5d42bc57eb70,ru,news,,,H,author_0263,,,,,,2002-03-21,lenta,,,,,,,,,,,,,,,,,,775,5564,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0014,791b59f2b3958478,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0015,04-corpus/raw-human/lenta/human_news_lenta_0015.txt,7916df7aa71b0c9efaf583fe70e26fb027afc5b6375dc7860639891b7fcb3536,ru,news,,,H,author_0263,,,,,,2018-09-13,lenta,,,,,,,,,,,,,,,,,,738,5865,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0015,fd68d80ee62e68bf,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0016,04-corpus/raw-human/lenta/human_news_lenta_0016.txt,a64a217f5799c915de515d9630da0d6a5bbe6c95c61abd25fa5b6ed88d12a94d,ru,news,,,H,author_0263,,,,,,2002-04-10,lenta,,,,,,,,,,,,,,,,,,943,6410,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0016,bb2840635f48cc33,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0017,04-corpus/raw-human/lenta/human_news_lenta_0017.txt,2f3e44614e3c85275a3e721391276c038ed3f5b6e546d4f9348e1fdc636fce5f,ru,news,,,H,author_0263,,,,,,2002-04-29,lenta,,,,,,,,,,,,,,,,,,1467,10904,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0017,73e98217811c02f0,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0018,04-corpus/raw-human/lenta/human_news_lenta_0018.txt,872986fe15f5aa44777a77649409fd2fa908b8dd6c978a6cebb1a56a3f9a287b,ru,news,,,H,author_0263,,,,,,2012-12-17,lenta,,,,,,,,,,,,,,,,,,820,5718,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0018,3cbef6f616f6463c,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0021,04-corpus/raw-human/lenta/human_news_lenta_0021.txt,60c7da612e8a6053edc848f4b3656026a7e307b644ebb544e652cc2ab4cff231,ru,news,,,H,author_0263,,,,,,2002-05-21,lenta,,,,,,,,,,,,,,,,,,811,5812,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0021,c2841f9ccf30529f,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0022,04-corpus/raw-human/lenta/human_news_lenta_0022.txt,d061e45f750d17e26e1a1efb81f0b01d2b38987c3ab01043d9c336478105cbdf,ru,news,,,H,author_0263,,,,,,2002-05-23,lenta,,,,,,,,,,,,,,,,,,939,6661,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0022,9ad7646bb5b6faa0,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0023,04-corpus/raw-human/lenta/human_news_lenta_0023.txt,3af6eac3a6245d6035276e5d3c3d9ff3ab07222b20fbc96da7afd41ceecd28c6,ru,news,,,H,author_0263,,,,,,2019-07-19,lenta,,,,,,,,,,,,,,,,,,730,5352,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0023,b72ce2f7080affb1,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0024,04-corpus/raw-human/lenta/human_news_lenta_0024.txt,8fd7b4e1cf6a4d27f22e99a1b9bbab6ce40b9362cfcc5746fe89fe5dc92f046e,ru,news,,,H,author_0263,,,,,,2016-04-21,lenta,,,,,,,,,,,,,,,,,,790,5867,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0024,8d57519c3711045a,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0027,04-corpus/raw-human/lenta/human_news_lenta_0027.txt,1bd5e6bf9ed73158b98964b73783b4f07025642c027c6627cc089f0267349f37,ru,news,,,H,author_0263,,,,,,2016-05-20,lenta,,,,,,,,,,,,,,,,,,785,6097,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0027,61392b549b16a6e2,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0029,04-corpus/raw-human/lenta/human_news_lenta_0029.txt,4a60919e8f22b99d99826fb7e9bdc5ada57bd46f013ebeed4547e418e26654dd,ru,news,,,H,author_0263,,,,,,2018-09-11,lenta,,,,,,,,,,,,,,,,,,873,6340,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0029,a71e7505b1a43b00,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
