document_id,feature_id,genre_percentile
deepseek_pro_b001_P1_r1,C01,0.6142
deepseek_pro_b001_P1_r1,C02,0.4264
deepseek_pro_b001_P1_r1,C03,0.0000
deepseek_pro_b001_P1_r1,C05,0.6464
deepseek_pro_b001_P1_r1,C06,0.8257
deepseek_pro_b001_P1_r1,D04,0.4602
deepseek_pro_b001_P1_r1,D05,0.5550
deepseek_pro_b001_P1_r1,F01,0.8460
deepseek_pro_b001_P1_r1,F02,0.3249
deepseek_pro_b001_P1_r1,F03,0.9526
deepseek_pro_b001_P1_r1,F04,0.0000
deepseek_pro_b001_P1_r1,F05,0.0000
deepseek_pro_b001_P1_r1,F06,0.9442
deepseek_pro_b001_P1_r1,F07,0.0000
deepseek_pro_b001_P1_r1,F08,0.4194
deepseek_pro_b001_P1_r1,L01,0.1557
deepseek_pro_b001_P1_r1,L02,0.2149
deepseek_pro_b001_P1_r1,L03,0.0677
deepseek_pro_b001_P1_r1,L04,0.3892
deepseek_pro_b001_P1_r1,L05,0.0948
deepseek_pro_b001_P1_r1,L06,0.9103
deepseek_pro_b001_P1_r1,L07,0.9408
deepseek_pro_b001_P1_r1,L08,0.0152
deepseek_pro_b001_P1_r1,L09,0.9882
deepseek_pro_b001_P1_r1,M01,0.3807
deepseek_pro_b001_P1_r1,M02,0.6244
deepseek_pro_b001_P1_r1,M05,0.1810
deepseek_pro_b001_P1_r1,P01,0.7056
deepseek_pro_b001_P1_r1,R01,0.6328
deepseek_pro_b001_P1_r1,R02,0.5482
deepseek_pro_b001_P1_r1,R03,0.3909
deepseek_pro_b001_P1_r1,R04,0.1540
deepseek_pro_b001_P1_r1,R05,0.1929
deepseek_pro_b001_P1_r1,R06,0.6582
deepseek_pro_b001_P1_r1,R07,0.7563
deepseek_pro_b001_P1_r1,S01,0.1624
deepseek_pro_b001_P1_r1,S02,0.6328
deepseek_pro_b001_P1_r1,S03,0.3909
deepseek_pro_b001_P1_r1,S04,0.4924
deepseek_pro_b001_P1_r1,S05,0.3401
deepseek_pro_b001_P1_r1,S06,0.3435
deepseek_pro_b001_P1_r1,S07,0.1218
deepseek_pro_b001_P1_r1,S08,0.5262
deepseek_pro_b001_P1_r1,S09,0.4349
deepseek_pro_b001_P1_r1,S10,0.0000
deepseek_pro_b001_P1_r1,X01,0.0000
deepseek_pro_b001_P1_r1,X02,0.0000
deepseek_pro_b001_P1_r1,X05,0.6361
deepseek_pro_b001_P1_r2,C01,0.3519
deepseek_pro_b001_P1_r2,C02,0.2352
deepseek_pro_b001_P1_r2,C03,0.0000
deepseek_pro_b001_P1_r2,C05,0.6210
deepseek_pro_b001_P1_r2,C06,0.9391
deepseek_pro_b001_P1_r2,D04,0.5668
deepseek_pro_b001_P1_r2,D05,0.5922
deepseek_pro_b001_P1_r2,F01,0.7293
deepseek_pro_b001_P1_r2,F02,0.5651
deepseek_pro_b001_P1_r2,F03,0.8714
deepseek_pro_b001_P1_r2,F04,0.9966
deepseek_pro_b001_P1_r2,F05,0.0000
deepseek_pro_b001_P1_r2,F06,0.9442
deepseek_pro_b001_P1_r2,F07,0.0000
deepseek_pro_b001_P1_r2,F08,0.0000
deepseek_pro_b001_P1_r2,L01,0.2572
deepseek_pro_b001_P1_r2,L02,0.4264
deepseek_pro_b001_P1_r2,L03,0.3266
deepseek_pro_b001_P1_r2,L04,0.4349
deepseek_pro_b001_P1_r2,L05,0.1591
deepseek_pro_b001_P1_r2,L06,0.8409
deepseek_pro_b001_P1_r2,L07,0.8494
deepseek_pro_b001_P1_r2,L08,0.0948
deepseek_pro_b001_P1_r2,L09,0.9611
deepseek_pro_b001_P1_r2,M01,0.2453
deepseek_pro_b001_P1_r2,M02,0.3519
deepseek_pro_b001_P1_r2,M05,0.1421
deepseek_pro_b001_P1_r2,P01,0.6531
deepseek_pro_b001_P1_r2,R01,0.7343
deepseek_pro_b001_P1_r2,R02,0.5888
deepseek_pro_b001_P1_r2,R03,0.9103
deepseek_pro_b001_P1_r2,R04,0.4162
deepseek_pro_b001_P1_r2,R05,0.1844
deepseek_pro_b001_P1_r2,R06,0.5854
deepseek_pro_b001_P1_r2,R07,0.6413
deepseek_pro_b001_P1_r2,S01,0.0981
deepseek_pro_b001_P1_r2,S02,0.7343
deepseek_pro_b001_P1_r2,S03,0.3909
deepseek_pro_b001_P1_r2,S04,0.5465
deepseek_pro_b001_P1_r2,S05,0.3333
deepseek_pro_b001_P1_r2,S06,0.6328
deepseek_pro_b001_P1_r2,S07,0.1066
deepseek_pro_b001_P1_r2,S08,0.4704
deepseek_pro_b001_P1_r2,S09,0.6024
deepseek_pro_b001_P1_r2,S10,0.0000
deepseek_pro_b001_P1_r2,X01,0.0000
deepseek_pro_b001_P1_r2,X02,0.0000
deepseek_pro_b001_P1_r2,X05,0.7111
deepseek_pro_b001_P2_r1,C01,0.4213
deepseek_pro_b001_P2_r1,C02,0.1354
deepseek_pro_b001_P2_r1,C03,0.0000
deepseek_pro_b001_P2_r1,C05,0.7885
deepseek_pro_b001_P2_r1,C06,0.2369
deepseek_pro_b001_P2_r1,D04,0.1134
deepseek_pro_b001_P2_r1,D05,0.0000
deepseek_pro_b001_P2_r1,F01,0.8968
deepseek_pro_b001_P2_r1,F02,0.1218
deepseek_pro_b001_P2_r1,F03,0.2978
deepseek_pro_b001_P2_r1,F04,0.0000
deepseek_pro_b001_P2_r1,F05,0.0000
deepseek_pro_b001_P2_r1,F06,0.0000
deepseek_pro_b001_P2_r1,F07,0.0000
deepseek_pro_b001_P2_r1,F08,0.0500
deepseek_pro_b001_P2_r1,L01,0.6684
deepseek_pro_b001_P2_r1,L02,0.9831
deepseek_pro_b001_P2_r1,L03,0.6142
deepseek_pro_b001_P2_r1,L04,0.8663
deepseek_pro_b001_P2_r1,L05,0.4772
deepseek_pro_b001_P2_r1,L06,0.6345
deepseek_pro_b001_P2_r1,L07,0.9357
deepseek_pro_b001_P2_r1,L08,0.4941
deepseek_pro_b001_P2_r1,L09,0.3401
