Часть корпуса,Условие производства,Категория,Документов
машинная,канал генерации,real_claude,270
машинная,канал генерации,deepseek_pro,270
машинная,канал генерации,gpt,270
машинная,канал генерации,nemotron,269
машинная,режим задания,P1,360
машинная,режим задания,P2,360
машинная,режим задания,P3,359
машинная,повтор,1,540
машинная,повтор,2,539
человеческая,уровень 2,"Шаблонные материалы, seo",231
человеческая,уровень 0,"Свободные авторские тексты, prose",180
человеческая,уровень 3,"Стандартизованная проза, science",167
человеческая,уровень 1,"Публицистика, news",152
человеческая,уровень не присваивается,"Тексты языкового контакта, translation",73
обе,итог,аналитический корпус,1882
