Преобразование,Вход признаков не изменился,Процедура 2: нестабильность,Процедура 2: смена решения,Процедура 1: доля |Δ| > 5 пунктов,Процедура 3: медиана |ΔNLL|,Процедура 4: доля |Δ| > 5 пунктов
t11 расширение текста,0.000,0.633,0.451,0.567,0.4366,0.233
t04 перестановка абзацев,0.250,0.089,0.055,0.267,0.0279,0.133
t02 снятие markdown,0.533,0.126,0.023,0.067,0.0000,0.033
t05 исправление пунктуации,0.017,0.055,0.017,0.100,0.0066,0.050
t10 сокращение текста,0.000,0.269,0.015,0.567,0.1584,0.117
t03 срезание заголовков,0.600,0.051,0.003,0.000,0.0000,0.000
t13 опечатки,0.000,0.051,0.001,0.050,0.1207,0.000
t15 гомоглифы,0.000,0.002,0.001,0.000,0.0216,0.033
t01 замена тире,0.083,0.000,0.000,0.000,0.0019,0.033
t16 перенос между форматами,0.450,0.143,0.000,0.217,0.0000,0.050
