n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,n_permutations,auroc_sd,auroc_min,auroc_max
792,269,523,0.8513011152416357,0.9479553903345725,0.8964098598947702,0.9501837412127632,0.9869142138221726,0.040152963671128104,0.013846153846153847,0.07932692307692307,0.047619047619047616,0.059880239520958084,0.03888888888888889,0.0410958904109589,holdout_author,main,full,0.1,0.9982,22,зарегистрирован до прогона,,,,
792,269,523,0.1412639405204461,0.34944237918215615,0.4051796188800167,0.6608570799007727,0.8707343251330969,0.06118546845124283,0.03483870967741935,0.1078838174273859,0.06428571428571428,0.07784431137724551,0.044444444444444446,0.0821917808219178,holdout_author,main,net,0.1,0.9849,18,зарегистрирован до прогона,,,,
792,269,523,0.0,0.0,-0.06803760085978047,0.4656044979280246,0.3675321813671484,0.6673040152963671,0.48428571428571426,0.8435374149659864,0.7023809523809523,0.31137724550898205,0.9666666666666667,0.9452054794520548,holdout_author,length-only,full,0.01,0.5202,4,зарегистрирован до прогона,,,,
792,269,523,0.6654275092936803,0.6654275092936803,-0.15182860275257648,0.4311841179355591,0.722682266307477,0.8030592734225621,0.565377532228361,0.96415770609319,1.0,1.0,1.0,1.0,holdout_author,genre-only,full,0.01,0.8884,4,зарегистрирован до прогона,,,,
792,269,523,0.0,0.0,0.1347337694036031,0.5258126195028681,0.5258126195028681,0.9483747609942639,0.8607594936708861,0.9942965779467681,1.0,1.0,1.0,1.0,holdout_author,source-only,full,10.0,0.5048,21,зарегистрирован до прогона,,,,
792,269,523,0.9739776951672863,0.9814126394052045,0.9605933739435769,0.9802966869717884,0.9926645674440424,0.01338432122370937,0.004073319755600814,0.029556650246305417,0.016666666666666666,0.03592814371257485,0.0,0.0136986301369863,holdout_author,format-only,full,1.0,0.989,4,зарегистрирован до прогона,,,,
792,269,523,0.8884758364312267,0.9591078066914498,0.9105414079063249,0.957671995280303,0.989345142052926,0.036328871892925434,0.01073345259391771,0.07129094412331406,0.04285714285714286,0.041916167664670656,0.044444444444444446,0.0410958904109589,holdout_author,main+M02,full,0.1,0.9981,23,зарегистрирован до прогона,,,,
,,,,,,,0.2558288967708459,,,,,,,,holdout_author,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.3954534062231281,0.0028360829358789344,0.9962825278810409
779,359,420,0.9136490250696379,0.9888579387186629,0.9389996201451426,0.9706194455498076,0.9948070035813769,0.047619047619047616,0.009884678747940691,0.09929078014184398,0.047619047619047616,0.04790419161676647,0.06111111111111111,0.0136986301369863,holdout_genre_analytics,main,full,1.0,0.9938,22,зарегистрирован до прогона,,,,
779,359,420,0.6963788300835655,0.9025069637883009,0.8676568724522877,0.935061016049874,0.9845204934341425,0.0880952380952381,0.05507246376811594,0.1482758620689655,0.0880952380952381,0.10179640718562874,0.06666666666666667,0.1095890410958904,holdout_genre_analytics,main,net,0.01,0.9557,18,зарегистрирован до прогона,,,,
779,359,420,0.022284122562674095,0.04178272980501393,-0.017766612540249988,0.49131184507229075,0.45940443029579514,0.6190476190476191,0.34012219959266804,0.8558139534883721,0.6190476190476191,0.15568862275449102,0.95,0.863013698630137,holdout_genre_analytics,length-only,full,0.01,0.56,4,зарегистрирован до прогона,,,,
779,359,420,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_analytics,genre-only,full,0.01,0.8254,3,зарегистрирован до прогона,,,,
779,359,420,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,holdout_genre_analytics,source-only,full,0.1,0.5004,25,зарегистрирован до прогона,,,,
779,359,420,0.8774373259052924,0.9442896935933147,0.873365976236501,0.931980368749171,0.972489720122032,0.01904761904761905,0.005649717514124294,0.041935483870967745,0.01904761904761905,0.041916167664670656,0.0,0.0136986301369863,holdout_genre_analytics,format-only,full,10.0,0.9759,4,зарегистрирован до прогона,,,,
779,359,420,0.8885793871866295,0.9916434540389972,0.934344331136111,0.9684407746385462,0.994402440641995,0.05476190476190476,0.010714285714285714,0.12053571428571429,0.05476190476190476,0.03592814371257485,0.08333333333333333,0.0273972602739726,holdout_genre_analytics,main+M02,full,1.0,0.9947,23,зарегистрирован до прогона,,,,
,,,,,,,0.39249005173099877,,,,,,,,holdout_genre_analytics,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,20,0.31878205905928253,0.002254940973603921,0.9456625547154794
780,360,420,0.9611111111111111,0.9805555555555555,0.9072514100088146,0.9549603174603175,0.9955423280423281,0.0761904761904762,0.03902439024390244,0.1377672209026128,0.0761904761904762,0.11377245508982035,0.05,0.0547945205479452,holdout_genre_commercial,main,full,1.0,0.995,22,зарегистрирован до прогона,,,,
