n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,split,model,estimand,slice,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-translation,fpr_HH-polished,fpr_HH-formal-register
90,90,0,,,,,,holdout_author,main,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
76,0,76,,,,,,holdout_author,main,full,H/уровень 0,0.0,0.0,0.0,,,,
180,0,180,,,,,,holdout_author,main,full,H/уровень 1,0.03888888888888889,0.0,0.1,0.03888888888888889,,0.03888888888888889,
27,0,27,,,,,,holdout_author,main,full,H/уровень 2,0.037037037037037035,0.0,0.17647058823529413,,,,
167,0,167,,,,,,holdout_author,main,full,H/уровень 3,0.059880239520958084,0.009478672985781991,0.21212121212121213,0.059880239520958084,,,0.059880239520958084
792,,,,,,,,holdout_author,main,full,macro по стратам,0.03538041117156858,,,,,,
792,,,,,,,,holdout_author,main,full,худшая страта,0.059880239520958084,,,,,,
90,90,0,,,,,,holdout_author,main,net,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main,net,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main,net,H/без уровня,0.0821917808219178,0.0273972602739726,0.1506849315068493,0.0821917808219178,0.0821917808219178,,
76,0,76,,,,,,holdout_author,main,net,H/уровень 0,0.02631578947368421,0.0,0.08333333333333333,,,,
180,0,180,,,,,,holdout_author,main,net,H/уровень 1,0.044444444444444446,0.016666666666666666,0.06666666666666667,0.044444444444444446,,0.044444444444444446,
27,0,27,,,,,,holdout_author,main,net,H/уровень 2,0.1111111111111111,0.0,0.4117647058823529,,,,
167,0,167,,,,,,holdout_author,main,net,H/уровень 3,0.07784431137724551,0.01910828025477707,0.2597402597402597,0.07784431137724551,,,0.07784431137724551
792,,,,,,,,holdout_author,main,net,macro по стратам,0.06838148744568061,,,,,,
792,,,,,,,,holdout_author,main,net,худшая страта,0.1111111111111111,,,,,,
90,90,0,,,,,,holdout_author,length-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,length-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,length-only,full,H/без уровня,0.9452054794520548,0.8904109589041096,0.9863013698630136,0.9452054794520548,0.9452054794520548,,
76,0,76,,,,,,holdout_author,length-only,full,H/уровень 0,0.5131578947368421,0.45,0.8333333333333334,,,,
180,0,180,,,,,,holdout_author,length-only,full,H/уровень 1,0.9666666666666667,0.9166666666666666,1.0,0.9666666666666667,,0.9666666666666667,
27,0,27,,,,,,holdout_author,length-only,full,H/уровень 2,0.5555555555555556,0.5,0.6363636363636364,,,,
167,0,167,,,,,,holdout_author,length-only,full,H/уровень 3,0.31137724550898205,0.24567474048442905,0.5166666666666667,0.31137724550898205,,,0.31137724550898205
792,,,,,,,,holdout_author,length-only,full,macro по стратам,0.6583925683840203,,,,,,
792,,,,,,,,holdout_author,length-only,full,худшая страта,0.9666666666666667,,,,,,
90,90,0,,,,,,holdout_author,genre-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,genre-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
76,0,76,,,,,,holdout_author,genre-only,full,H/уровень 0,0.0,0.0,0.0,,,,
180,0,180,,,,,,holdout_author,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
27,0,27,,,,,,holdout_author,genre-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_author,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
792,,,,,,,,holdout_author,genre-only,full,macro по стратам,0.6,,,,,,
792,,,,,,,,holdout_author,genre-only,full,худшая страта,1.0,,,,,,
90,90,0,,,,,,holdout_author,source-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,source-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,source-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
76,0,76,,,,,,holdout_author,source-only,full,H/уровень 0,0.7894736842105263,0.0,1.0,,,,
180,0,180,,,,,,holdout_author,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
27,0,27,,,,,,holdout_author,source-only,full,H/уровень 2,0.5925925925925926,0.0,1.0,,,,
167,0,167,,,,,,holdout_author,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
792,,,,,,,,holdout_author,source-only,full,macro по стратам,0.8764132553606239,,,,,,
792,,,,,,,,holdout_author,source-only,full,худшая страта,1.0,,,,,,
90,90,0,,,,,,holdout_author,format-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,format-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,format-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,format-only,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
76,0,76,,,,,,holdout_author,format-only,full,H/уровень 0,0.0,0.0,0.0,,,,
180,0,180,,,,,,holdout_author,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
27,0,27,,,,,,holdout_author,format-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_author,format-only,full,H/уровень 3,0.03592814371257485,0.012448132780082987,0.10714285714285714,0.03592814371257485,,,0.03592814371257485
792,,,,,,,,holdout_author,format-only,full,macro по стратам,0.00992535476991223,,,,,,
792,,,,,,,,holdout_author,format-only,full,худшая страта,0.03592814371257485,,,,,,
90,90,0,,,,,,holdout_author,main+M02,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main+M02,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main+M02,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main+M02,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
76,0,76,,,,,,holdout_author,main+M02,full,H/уровень 0,0.0,0.0,0.0,,,,
180,0,180,,,,,,holdout_author,main+M02,full,H/уровень 1,0.044444444444444446,0.0,0.11666666666666667,0.044444444444444446,,0.044444444444444446,
27,0,27,,,,,,holdout_author,main+M02,full,H/уровень 2,0.037037037037037035,0.0,0.17647058823529413,,,,
167,0,167,,,,,,holdout_author,main+M02,full,H/уровень 3,0.041916167664670656,0.0,0.15625,0.041916167664670656,,,0.041916167664670656
792,,,,,,,,holdout_author,main+M02,full,macro по стратам,0.03289870791142221,,,,,,
792,,,,,,,,holdout_author,main+M02,full,худшая страта,0.044444444444444446,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,main,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
180,0,180,,,,,,holdout_genre_analytics,main,full,H/уровень 1,0.06111111111111111,0.0,0.16666666666666666,0.06111111111111111,,0.06111111111111111,
167,0,167,,,,,,holdout_genre_analytics,main,full,H/уровень 3,0.04790419161676647,0.004901960784313725,0.17105263157894737,0.04790419161676647,,,0.04790419161676647
779,,,,,,,,holdout_genre_analytics,main,full,macro по стратам,0.04090464428828796,,,,,,
779,,,,,,,,holdout_genre_analytics,main,full,худшая страта,0.06111111111111111,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,net,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,net,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,main,net,H/без уровня,0.1095890410958904,0.0410958904109589,0.1917808219178082,0.1095890410958904,0.1095890410958904,,
180,0,180,,,,,,holdout_genre_analytics,main,net,H/уровень 1,0.06666666666666667,0.03333333333333333,0.08333333333333333,0.06666666666666667,,0.06666666666666667,
167,0,167,,,,,,holdout_genre_analytics,main,net,H/уровень 3,0.10179640718562874,0.0392156862745098,0.2835820895522388,0.10179640718562874,,,0.10179640718562874
779,,,,,,,,holdout_genre_analytics,main,net,macro по стратам,0.09268403831606194,,,,,,
779,,,,,,,,holdout_genre_analytics,main,net,худшая страта,0.1095890410958904,,,,,,
120,120,0,,,,,,holdout_genre_analytics,length-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,length-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,length-only,full,H/без уровня,0.863013698630137,0.7808219178082192,0.9315068493150684,0.863013698630137,0.863013698630137,,
180,0,180,,,,,,holdout_genre_analytics,length-only,full,H/уровень 1,0.95,0.8666666666666667,1.0,0.95,,0.95,
167,0,167,,,,,,holdout_genre_analytics,length-only,full,H/уровень 3,0.15568862275449102,0.07630522088353414,0.3977272727272727,0.15568862275449102,,,0.15568862275449102
779,,,,,,,,holdout_genre_analytics,length-only,full,macro по стратам,0.6562341071282093,,,,,,
779,,,,,,,,holdout_genre_analytics,length-only,full,худшая страта,0.95,,,,,,
120,120,0,,,,,,holdout_genre_analytics,genre-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,genre-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
180,0,180,,,,,,holdout_genre_analytics,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_genre_analytics,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
