n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,split,held_out_channel,held_out_human_sources,estimand,C,inner_auc,n_train,n_test,n_features,auroc_spread_between_channels
150,90,60,0.9333333333333333,1.0,0.8385680336335052,0.9277777777777778,0.9983333333333333,0.0,0.0,0.0,,outer_fold_0,gpt,devaka_ru;sosnovskij_ru;author_archive;labrika,full,1.0,0.9993,447,150,22,
149,90,59,1.0,1.0,0.8909786534553893,0.9322033898305084,1.0,0.13559322033898305,0.07142857142857142,0.19047619047619047,,outer_fold_1,real_claude,madcats;texterra_ru;drmax_su;seoprofy_ua,full,1.0,0.9916,448,149,22,
150,90,60,0.9444444444444444,0.9888888888888889,0.9319254635615956,0.9694444444444444,0.997037037037037,0.016666666666666666,0.0,0.09375,,outer_fold_2,deepseek_pro,drmax;shakin;madcats_ru;optimizatorsha_ru;shakin_ru,full,0.01,0.9837,447,150,22,
148,90,58,0.9777777777777777,0.9777777777777777,0.9289947732913322,0.9630268199233716,0.9977011494252874,0.05172413793103448,0.0,0.12903225806451613,,outer_fold_3,nemotron,alaev;sosnovskij;seopulses;seopulses_ru;convertmonster,full,1.0,0.9929,449,148,22,
597,360,237,0.8138888888888889,0.9444444444444444,0.8923530541923353,0.9482946554149085,0.990014064697609,0.05063291139240506,0.014705882352941176,0.09236947791164658,,pooled_out_of_fold,все четыре,,full,,,,597,,0.002962962962962945
150,90,60,0.7444444444444445,0.8666666666666667,0.8622074921564947,0.9333333333333333,0.9855555555555555,0.06666666666666667,0.0,0.19047619047619047,,outer_fold_0,gpt,devaka_ru;sosnovskij_ru;author_archive;labrika,net,0.01,0.9599,447,150,18,
149,90,59,0.5888888888888889,0.6777777777777778,0.7769244191656062,0.8731638418079096,0.9583804143126178,0.22033898305084745,0.0,0.28703703703703703,,outer_fold_1,real_claude,madcats;texterra_ru;drmax_su;seoprofy_ua,net,0.01,0.9505,448,149,18,
150,90,60,0.8333333333333334,0.9666666666666667,0.9165587597202866,0.9555555555555555,0.9940740740740741,0.06666666666666667,0.0,0.24242424242424243,,outer_fold_2,deepseek_pro,drmax;shakin;madcats_ru;optimizatorsha_ru;shakin_ru,net,0.01,0.9099,447,150,18,
148,90,58,0.3111111111111111,0.3888888888888889,0.5531376050155333,0.7816091954022988,0.9193486590038314,0.10344827586206896,0.0,0.26666666666666666,,outer_fold_3,nemotron,alaev;sosnovskij;seopulses;seopulses_ru;convertmonster,net,0.1,0.9753,449,148,18,
597,360,237,0.4111111111111111,0.7444444444444445,0.7653728159229114,0.8860935302390998,0.9451242381622128,0.11392405063291139,0.03773584905660377,0.1948529411764706,,pooled_out_of_fold,все четыре,,net,,,,597,,0.07472541507024266
