n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-formal-register,fpr_HH-polished,fpr_HH-translation,split,model,estimand,C,inner_auc,n_features,status,inner_folds_total,inner_folds_used,inner_folds_skipped,c_rebuilt,c_changed_by_rebuild,n_permutations,auroc_sd,auroc_min,auroc_max
764,269,495,0.8847583643122676,0.9591078066914498,0.9079447147373492,0.9524013367879539,0.9909954564229656,0.028282828282828285,0.008645533141210375,0.06629834254143646,0.03316326530612245,0.05389221556886228,0.006578947368421052,0.0410958904109589,holdout_author,main,full,0.1,0.998,22,зарегистрирован до прогона,3,3,,0.1,0,,,,
764,269,495,0.1895910780669145,0.3940520446096654,0.45170248059814305,0.6819158123990838,0.8872141489241862,0.052525252525252523,0.029411764705882353,0.09623430962343096,0.05357142857142857,0.0718562874251497,0.02631578947368421,0.0684931506849315,holdout_author,main,net,0.1,0.9861,18,зарегистрирован до прогона,3,3,,0.1,0,,,,
764,269,495,0.0,0.0,-0.06014672818083744,0.4698021103225565,0.37896436483797075,0.6626262626262627,0.5,0.8338192419825073,0.6913265306122449,0.33532934131736525,0.9605263157894737,0.9452054794520548,holdout_author,length-only,full,0.01,0.515,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
764,269,495,0.6654275092936803,0.6654275092936803,-0.13904135791266706,0.4367541586872442,0.7259209192294694,0.7919191919191919,0.5521669341894061,0.9605263157894737,1.0,1.0,1.0,1.0,holdout_author,genre-only,full,0.01,0.8901,4,зарегистрирован до прогона,3,3,,0.01,0,,,,
764,269,495,0.0,0.0,0.14109826667439018,0.5272727272727272,0.5272727272727273,0.9454545454545454,0.8532934131736527,0.9938176197836167,1.0,1.0,1.0,1.0,holdout_author,source-only,full,1.0,0.5044,21,зарегистрирован до прогона,3,3,,0.01,1,,,,
764,269,495,0.9739776951672863,0.9814126394052045,0.9598362810258722,0.979918140512936,0.9927753370132553,0.014141414141414142,0.004319654427645789,0.030805687203791468,0.017857142857142856,0.03592814371257485,0.0,0.0136986301369863,holdout_author,format-only,full,1.0,0.9896,4,зарегистрирован до прогона,3,3,,1.0,0,,,,
764,269,495,0.9033457249070632,0.9702602230483272,0.928221982910015,0.9637152191055536,0.9932785100071345,0.024242424242424242,0.007281553398058253,0.05555555555555555,0.02806122448979592,0.041916167664670656,0.006578947368421052,0.0410958904109589,holdout_author,main+M02,full,0.1,0.9979,23,зарегистрирован до прогона,3,3,,0.1,0,,,,
,,,,,,,0.26566520220795314,,,,,,,,holdout_author,negative-control,full,,,,post hoc: серия кластерных перестановок вместо одной,,,,,,20,0.39120951140750343,0.003071608276069247,0.995861965378694
751,359,392,0.9860724233983287,0.9972144846796658,0.9627937307324439,0.9816738673185151,0.998692513216986,0.025510204081632654,0.006802721088435374,0.05755395683453238,0.025510204081632654,0.041916167664670656,0.013157894736842105,0.0136986301369863,holdout_genre_analytics,main,full,1.0,0.9948,22,зарегистрирован до прогона,3,3,,10.0,1,,,,
751,359,392,0.7604456824512534,0.924791086350975,0.8782872675865259,0.9395678187709624,0.9865343073162414,0.07908163265306123,0.04834605597964377,0.13602015113350127,0.07908163265306123,0.09580838323353294,0.05263157894736842,0.0958904109589041,holdout_genre_analytics,main,net,0.01,0.9547,18,зарегистрирован до прогона,3,3,,0.01,0,,,,
