n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,split,model,estimand,slice,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-translation,fpr_HH-polished,fpr_HH-formal-register
90,90,0,,,,,,holdout_author,main,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
76,0,76,,,,,,holdout_author,main,full,H/уровень 0,0.0,0.0,0.0,,,,
152,0,152,,,,,,holdout_author,main,full,H/уровень 1,0.006578947368421052,0.0,0.016666666666666666,0.006578947368421052,,0.006578947368421052,
27,0,27,,,,,,holdout_author,main,full,H/уровень 2,0.037037037037037035,0.0,0.17647058823529413,,,,
167,0,167,,,,,,holdout_author,main,full,H/уровень 3,0.05389221556886228,0.004901960784313725,0.19718309859154928,0.05389221556886228,,,0.05389221556886228
764,,,,,,,,holdout_author,main,full,macro по стратам,0.027720818077055853,,,,,,
764,,,,,,,,holdout_author,main,full,худшая страта,0.05389221556886228,,,,,,
90,90,0,,,,,,holdout_author,main,net,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main,net,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main,net,H/без уровня,0.0684931506849315,0.0136986301369863,0.136986301369863,0.0684931506849315,0.0684931506849315,,
76,0,76,,,,,,holdout_author,main,net,H/уровень 0,0.013157894736842105,0.0,0.08333333333333333,,,,
152,0,152,,,,,,holdout_author,main,net,H/уровень 1,0.02631578947368421,0.0,0.05,0.02631578947368421,,0.02631578947368421,
27,0,27,,,,,,holdout_author,main,net,H/уровень 2,0.1111111111111111,0.0,0.4117647058823529,,,,
167,0,167,,,,,,holdout_author,main,net,H/уровень 3,0.0718562874251497,0.02054794520547945,0.22784810126582278,0.0718562874251497,,,0.0718562874251497
764,,,,,,,,holdout_author,main,net,macro по стратам,0.05818684668634373,,,,,,
764,,,,,,,,holdout_author,main,net,худшая страта,0.1111111111111111,,,,,,
90,90,0,,,,,,holdout_author,length-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,length-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,length-only,full,H/без уровня,0.9452054794520548,0.8904109589041096,0.9863013698630136,0.9452054794520548,0.9452054794520548,,
76,0,76,,,,,,holdout_author,length-only,full,H/уровень 0,0.5526315789473685,0.4666666666666667,0.9166666666666666,,,,
152,0,152,,,,,,holdout_author,length-only,full,H/уровень 1,0.9605263157894737,0.9166666666666666,1.0,0.9605263157894737,,0.9605263157894737,
27,0,27,,,,,,holdout_author,length-only,full,H/уровень 2,0.5555555555555556,0.5,0.6363636363636364,,,,
167,0,167,,,,,,holdout_author,length-only,full,H/уровень 3,0.33532934131736525,0.27586206896551724,0.5166666666666667,0.33532934131736525,,,0.33532934131736525
764,,,,,,,,holdout_author,length-only,full,macro по стратам,0.6698496542123635,,,,,,
764,,,,,,,,holdout_author,length-only,full,худшая страта,0.9605263157894737,,,,,,
90,90,0,,,,,,holdout_author,genre-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,genre-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
76,0,76,,,,,,holdout_author,genre-only,full,H/уровень 0,0.0,0.0,0.0,,,,
152,0,152,,,,,,holdout_author,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
27,0,27,,,,,,holdout_author,genre-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_author,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
764,,,,,,,,holdout_author,genre-only,full,macro по стратам,0.6,,,,,,
764,,,,,,,,holdout_author,genre-only,full,худшая страта,1.0,,,,,,
90,90,0,,,,,,holdout_author,source-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,source-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,source-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
76,0,76,,,,,,holdout_author,source-only,full,H/уровень 0,0.7894736842105263,0.0,1.0,,,,
152,0,152,,,,,,holdout_author,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
27,0,27,,,,,,holdout_author,source-only,full,H/уровень 2,0.5925925925925926,0.0,1.0,,,,
167,0,167,,,,,,holdout_author,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
764,,,,,,,,holdout_author,source-only,full,macro по стратам,0.8764132553606239,,,,,,
764,,,,,,,,holdout_author,source-only,full,худшая страта,1.0,,,,,,
90,90,0,,,,,,holdout_author,format-only,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,format-only,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,format-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,format-only,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
76,0,76,,,,,,holdout_author,format-only,full,H/уровень 0,0.0,0.0,0.0,,,,
152,0,152,,,,,,holdout_author,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
27,0,27,,,,,,holdout_author,format-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_author,format-only,full,H/уровень 3,0.03592814371257485,0.012448132780082987,0.10714285714285714,0.03592814371257485,,,0.03592814371257485
764,,,,,,,,holdout_author,format-only,full,macro по стратам,0.00992535476991223,,,,,,
764,,,,,,,,holdout_author,format-only,full,худшая страта,0.03592814371257485,,,,,,
90,90,0,,,,,,holdout_author,main+M02,full,A/P1,,,,,,,
90,90,0,,,,,,holdout_author,main+M02,full,A/P2,,,,,,,
89,89,0,,,,,,holdout_author,main+M02,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_author,main+M02,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
76,0,76,,,,,,holdout_author,main+M02,full,H/уровень 0,0.0,0.0,0.0,,,,
152,0,152,,,,,,holdout_author,main+M02,full,H/уровень 1,0.006578947368421052,0.0,0.016666666666666666,0.006578947368421052,,0.006578947368421052,
27,0,27,,,,,,holdout_author,main+M02,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_author,main+M02,full,H/уровень 3,0.041916167664670656,0.0,0.15625,0.041916167664670656,,,0.041916167664670656
764,,,,,,,,holdout_author,main+M02,full,macro по стратам,0.01791820108881012,,,,,,
764,,,,,,,,holdout_author,main+M02,full,худшая страта,0.041916167664670656,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,main,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_genre_analytics,main,full,H/уровень 1,0.006578947368421052,0.0,0.016666666666666666,0.006578947368421052,,0.006578947368421052,
167,0,167,,,,,,holdout_genre_analytics,main,full,H/уровень 3,0.04790419161676647,0.004901960784313725,0.17105263157894737,0.04790419161676647,,,0.04790419161676647
751,,,,,,,,holdout_genre_analytics,main,full,macro по стратам,0.022727256374057942,,,,,,
751,,,,,,,,holdout_genre_analytics,main,full,худшая страта,0.04790419161676647,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,net,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,main,net,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,main,net,H/без уровня,0.0958904109589041,0.0410958904109589,0.1643835616438356,0.0958904109589041,0.0958904109589041,,
152,0,152,,,,,,holdout_genre_analytics,main,net,H/уровень 1,0.05263157894736842,0.03125,0.08333333333333333,0.05263157894736842,,0.05263157894736842,
167,0,167,,,,,,holdout_genre_analytics,main,net,H/уровень 3,0.09580838323353294,0.0392156862745098,0.2571428571428571,0.09580838323353294,,,0.09580838323353294
751,,,,,,,,holdout_genre_analytics,main,net,macro по стратам,0.08144345771326848,,,,,,
751,,,,,,,,holdout_genre_analytics,main,net,худшая страта,0.0958904109589041,,,,,,
120,120,0,,,,,,holdout_genre_analytics,length-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,length-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,length-only,full,H/без уровня,0.8767123287671232,0.7945205479452054,0.9452054794520548,0.8767123287671232,0.8767123287671232,,
152,0,152,,,,,,holdout_genre_analytics,length-only,full,H/уровень 1,0.9407894736842105,0.8666666666666667,1.0,0.9407894736842105,,0.9407894736842105,
167,0,167,,,,,,holdout_genre_analytics,length-only,full,H/уровень 3,0.17964071856287425,0.09652509652509653,0.41818181818181815,0.17964071856287425,,,0.17964071856287425
751,,,,,,,,holdout_genre_analytics,length-only,full,macro по стратам,0.6657141736714026,,,,,,
751,,,,,,,,holdout_genre_analytics,length-only,full,худшая страта,0.9407894736842105,,,,,,
120,120,0,,,,,,holdout_genre_analytics,genre-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_genre_analytics,genre-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_genre_analytics,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_genre_analytics,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_genre_analytics,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_genre_analytics,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
