n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,split,held_out_channel,held_out_human_sources,estimand,C,inner_auc,inner_folds_total,inner_folds_used,n_train,n_test,n_features,auroc_spread_between_channels
133,90,43,0.8888888888888888,0.9555555555555556,0.8492196442575219,0.9444444444444444,0.9945736434108527,0.0,0.0,0.0,,outer_fold_0,gpt,buriy_2014;taiga_magazines;drmax;texterra_ru;Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»;drmax_su;Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»;Институт проблем освоения Севера Сибирского отделения Российской академии наук;Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»;Харьковский национальный автомобильно-дорожный университет;rusltc:source-140;rusltc:source-164;rusltc:source-17;rusltc:source-18;rusltc:source-186;rusltc:source-204;rusltc:source-209;rusltc:source-213;rusltc:source-273;rusltc:source-288;rusltc:source-306;rusltc:source-314;rusltc:source-328;rusltc:source-367;rusltc:source-415;rusltc:source-49;rusltc:source-69;rusltc:source-89;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургская академия художеств имени Ильи Репина»;Частное образовательное учреждение высшего образования «Самарская гуманитарная академия»,full,1.0,0.9964,3,3,458,133,22,
150,90,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,outer_fold_1,real_claude,"gazeta;taiga_proza;alaev;sosnovskij;madcats_ru;author_archive;Государственное образовательное учреждение высшего профессионального образования «Национальный исследовательский Томский политехнический университет»;shakin_ru;Редакция международного научного журнала «Мир науки, культуры, образования»;Федеральное государственное унитарное предприятие «Тихоокеанский научно-исследовательский рыбохозяйственный центр»;rusltc:source-10;rusltc:source-15;rusltc:source-165;rusltc:source-174;rusltc:source-180;rusltc:source-187;rusltc:source-205;rusltc:source-21;rusltc:source-243;rusltc:source-278;rusltc:source-293;rusltc:source-31;rusltc:source-315;rusltc:source-34;rusltc:source-37;rusltc:source-45;rusltc:source-5;rusltc:source-7;rusltc:source-92;Федеральное государственное бюджетное научное учреждение «Томский научно-исследовательский институт онкологии»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского»",full,10.0,0.9786,3,3,441,150,22,
142,90,52,0.8888888888888888,0.9444444444444444,0.8474452831832832,0.9200854700854701,0.9893162393162394,0.11538461538461539,0.0,0.16666666666666666,,outer_fold_2,deepseek_pro,"lenta;spbgu;madcats;sosnovskij_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»;seopulses_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»;Университет «Синергия»;Филиал Открытого акционерного общество «Татмедиа» «Редакция «Казанского медицинского журнала»;rusltc:source-101;rusltc:source-16;rusltc:source-167;rusltc:source-178;rusltc:source-182;rusltc:source-19;rusltc:source-207;rusltc:source-210;rusltc:source-247;rusltc:source-283;rusltc:source-295;rusltc:source-312;rusltc:source-316;rusltc:source-35;rusltc:source-38;rusltc:source-46;rusltc:source-65;rusltc:source-8;Институт энергетики Академии наук Молдовы;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный университет систем управления и радиоэлектроники»",full,0.01,0.9963,3,3,449,142,22,
166,90,76,0.9222222222222223,1.0,0.9285753749600428,0.9656432748538011,0.9986842105263157,0.013157894736842105,0.0,0.07317073170731707,,outer_fold_3,nemotron,taiga_arzamas;urfu;devaka_ru;shakin;seopulses;optimizatorsha_ru;labrika;seoprofy_ua;ООО «ГРУППА РЕМЕДИУМ»;Федеральное государственное бюджетное учреждение «Новосибирский научно-исследовательский институт травматологии и ортопедии им. Я. Л. Цивьяна» Минздрава России;convertmonster;rusltc:source-134;rusltc:source-162;rusltc:source-168;rusltc:source-179;rusltc:source-185;rusltc:source-2;rusltc:source-208;rusltc:source-211;rusltc:source-248;rusltc:source-286;rusltc:source-298;rusltc:source-313;rusltc:source-317;rusltc:source-36;rusltc:source-400;rusltc:source-47;rusltc:source-68;rusltc:source-88;Общество с ограниченной ответственностью «Центр интеллектуальных услуг «Энциклопедия»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»;Федеральное государственное бюджетное учреждение науки «Институт проблем управления им. В. А. Трапезникова РАН»,full,0.1,0.9953,3,3,425,166,22,
591,360,231,0.9333333333333333,0.9694444444444444,0.9092756154875058,0.958459595959596,0.9940716690716691,0.030303030303030304,0.0,0.07024793388429752,,pooled_out_of_fold,все четыре,,full,,,,,,591,,0.010683760683760646
133,90,43,0.7333333333333333,0.8666666666666667,0.7638616482015212,0.8984496124031007,0.9837209302325582,0.06976744186046512,0.0,0.23076923076923078,,outer_fold_0,gpt,buriy_2014;taiga_magazines;drmax;texterra_ru;Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»;drmax_su;Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»;Институт проблем освоения Севера Сибирского отделения Российской академии наук;Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»;Харьковский национальный автомобильно-дорожный университет;rusltc:source-140;rusltc:source-164;rusltc:source-17;rusltc:source-18;rusltc:source-186;rusltc:source-204;rusltc:source-209;rusltc:source-213;rusltc:source-273;rusltc:source-288;rusltc:source-306;rusltc:source-314;rusltc:source-328;rusltc:source-367;rusltc:source-415;rusltc:source-49;rusltc:source-69;rusltc:source-89;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургская академия художеств имени Ильи Репина»;Частное образовательное учреждение высшего образования «Самарская гуманитарная академия»,net,0.01,0.9636,3,3,458,133,18,
150,90,60,0.6777777777777778,0.9444444444444444,0.8466860804010485,0.9194444444444445,0.9790740740740741,0.11666666666666667,0.0,0.22413793103448276,,outer_fold_1,real_claude,"gazeta;taiga_proza;alaev;sosnovskij;madcats_ru;author_archive;Государственное образовательное учреждение высшего профессионального образования «Национальный исследовательский Томский политехнический университет»;shakin_ru;Редакция международного научного журнала «Мир науки, культуры, образования»;Федеральное государственное унитарное предприятие «Тихоокеанский научно-исследовательский рыбохозяйственный центр»;rusltc:source-10;rusltc:source-15;rusltc:source-165;rusltc:source-174;rusltc:source-180;rusltc:source-187;rusltc:source-205;rusltc:source-21;rusltc:source-243;rusltc:source-278;rusltc:source-293;rusltc:source-31;rusltc:source-315;rusltc:source-34;rusltc:source-37;rusltc:source-45;rusltc:source-5;rusltc:source-7;rusltc:source-92;Федеральное государственное бюджетное научное учреждение «Томский научно-исследовательский институт онкологии»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского»",net,0.01,0.9288,3,3,441,150,18,
142,90,52,0.7444444444444445,0.8333333333333334,0.8095306083312989,0.875,0.9735042735042735,0.25,0.0,0.3,,outer_fold_2,deepseek_pro,"lenta;spbgu;madcats;sosnovskij_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»;seopulses_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»;Университет «Синергия»;Филиал Открытого акционерного общество «Татмедиа» «Редакция «Казанского медицинского журнала»;rusltc:source-101;rusltc:source-16;rusltc:source-167;rusltc:source-178;rusltc:source-182;rusltc:source-19;rusltc:source-207;rusltc:source-210;rusltc:source-247;rusltc:source-283;rusltc:source-295;rusltc:source-312;rusltc:source-316;rusltc:source-35;rusltc:source-38;rusltc:source-46;rusltc:source-65;rusltc:source-8;Институт энергетики Академии наук Молдовы;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный университет систем управления и радиоэлектроники»",net,0.01,0.9628,3,3,449,142,18,
166,90,76,0.2111111111111111,0.7111111111111111,0.5769562407415235,0.7656432748538011,0.9507309941520468,0.013157894736842105,0.0,0.07317073170731707,,outer_fold_3,nemotron,taiga_arzamas;urfu;devaka_ru;shakin;seopulses;optimizatorsha_ru;labrika;seoprofy_ua;ООО «ГРУППА РЕМЕДИУМ»;Федеральное государственное бюджетное учреждение «Новосибирский научно-исследовательский институт травматологии и ортопедии им. Я. Л. Цивьяна» Минздрава России;convertmonster;rusltc:source-134;rusltc:source-162;rusltc:source-168;rusltc:source-179;rusltc:source-185;rusltc:source-2;rusltc:source-208;rusltc:source-211;rusltc:source-248;rusltc:source-286;rusltc:source-298;rusltc:source-313;rusltc:source-317;rusltc:source-36;rusltc:source-400;rusltc:source-47;rusltc:source-68;rusltc:source-88;Общество с ограниченной ответственностью «Центр интеллектуальных услуг «Энциклопедия»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»;Федеральное государственное бюджетное учреждение науки «Институт проблем управления им. В. А. Трапезникова РАН»,net,0.01,0.9827,3,3,425,166,18,
591,360,231,0.5083333333333333,0.7666666666666667,0.7241069624567125,0.8688852813852814,0.9477513227513228,0.1038961038961039,0.032432432432432434,0.1794871794871795,,pooled_out_of_fold,все четыре,,net,,,,,,591,,0.032989936080511484
