split_name,n_train,n_train_A,n_train_H,median_A,median_H,median_diff_A_minus_H,cliffs_delta_A_vs_H,coef_M01,coef_sign,abs_rank_of_22
holdout_author,1118,810,308,0.074417,0.092236,-0.01782,-0.8423,-0.863946,к человеку,4
holdout_genre_analytics,1131,720,411,0.074035,0.090727,-0.016692,-0.7863,-1.3295,к человеку,5
holdout_genre_commercial,1130,719,411,0.075934,0.090727,-0.014793,-0.733,-1.087065,к человеку,6
holdout_genre_news,1490,1079,411,0.074645,0.090727,-0.016082,-0.7809,-0.824412,к человеку,4
holdout_genre_prose,1310,1079,231,0.074645,0.093774,-0.019129,-0.8459,-0.411445,к человеку,4
holdout_genre_science,1490,1079,411,0.074645,0.090727,-0.016082,-0.7809,-0.824412,к человеку,4
holdout_genre_seo,899,719,180,0.073908,0.088081,-0.014173,-0.7489,-2.513074,к человеку,4
holdout_genre_translation,1490,1079,411,0.074645,0.090727,-0.016082,-0.7809,-0.824412,к человеку,4
holdout_model_Anthropic,1220,809,411,0.075224,0.090727,-0.015502,-0.7625,-1.579754,к человеку,7
holdout_model_DeepSeek,1220,809,411,0.074645,0.090727,-0.016082,-0.7707,-0.435258,к человеку,4
holdout_model_NVIDIA,1221,810,411,0.074417,0.090727,-0.01631,-0.8092,-0.820971,к человеку,4
holdout_model_OpenAI,1220,809,411,0.074411,0.090727,-0.016316,-0.7811,-0.741969,к человеку,4
holdout_prompt_P1,1130,719,411,0.074258,0.090727,-0.016469,-0.7916,-1.74184,к человеку,7
holdout_prompt_P2,1130,719,411,0.075233,0.090727,-0.015493,-0.7696,-1.532737,к человеку,7
holdout_prompt_P3,1131,720,411,0.074576,0.090727,-0.01615,-0.7814,-1.187317,к человеку,13
holdout_source,879,540,339,0.075019,0.090235,-0.015216,-0.7731,-0.819546,к человеку,2
holdout_time,1424,1079,345,0.074645,0.090459,-0.015814,-0.7682,-0.811036,к человеку,4
holdout_topic,1131,720,411,0.074226,0.090727,-0.016501,-0.7975,-1.341132,к человеку,4
