document_id,origin_class,source,genre,in_current_registry,n_sentences,repeat_share,repeated_unique,max_multiplicity,longest_repeated_block,repeat_char_share,adjacent_share,glued_per_1000w,verdict
deepseek_pro_b001_P1_r1,A,deepseek_pro,seo,1,69,0.0,0,1,0,0.0,0.0,1.009082,
deepseek_pro_b001_P1_r2,A,deepseek_pro,seo,1,90,0.0,0,1,0,0.0,0.0,0.822368,
deepseek_pro_b001_P2_r1,A,deepseek_pro,seo,1,33,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b001_P2_r2,A,deepseek_pro,seo,1,45,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b001_P3_r1,A,deepseek_pro,seo,1,106,0.0,0,1,0,0.0,0.0,1.55642,
deepseek_pro_b001_P3_r2,A,deepseek_pro,seo,1,107,0.0,0,1,0,0.0,0.0,0.729395,
deepseek_pro_b002_P1_r1,A,deepseek_pro,seo,1,87,0.0,0,1,0,0.0,0.0,0.692521,
deepseek_pro_b002_P1_r2,A,deepseek_pro,seo,1,112,0.0,0,1,0,0.0,0.0,0.570125,
deepseek_pro_b002_P2_r1,A,deepseek_pro,seo,1,77,0.0,0,1,0,0.0,0.0,0.806452,
deepseek_pro_b002_P2_r2,A,deepseek_pro,seo,1,57,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b002_P3_r1,A,deepseek_pro,seo,1,81,0.0,0,1,0,0.0,0.0,0.821018,
deepseek_pro_b002_P3_r2,A,deepseek_pro,seo,1,87,0.0,0,1,0,0.0,0.0,1.762115,
deepseek_pro_b003_P1_r1,A,deepseek_pro,seo,1,44,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b003_P1_r2,A,deepseek_pro,seo,1,66,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b003_P2_r1,A,deepseek_pro,seo,1,83,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b003_P2_r2,A,deepseek_pro,seo,1,65,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b003_P3_r1,A,deepseek_pro,seo,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b003_P3_r2,A,deepseek_pro,seo,1,72,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P1_r1,A,deepseek_pro,seo,1,58,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P1_r2,A,deepseek_pro,seo,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P2_r1,A,deepseek_pro,seo,1,49,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P2_r2,A,deepseek_pro,seo,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P3_r1,A,deepseek_pro,seo,1,88,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b004_P3_r2,A,deepseek_pro,seo,1,74,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P1_r1,A,deepseek_pro,seo,1,133,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P1_r2,A,deepseek_pro,seo,1,109,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P2_r1,A,deepseek_pro,seo,1,87,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P2_r2,A,deepseek_pro,seo,1,50,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P3_r1,A,deepseek_pro,seo,1,138,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b005_P3_r2,A,deepseek_pro,seo,1,125,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P1_r1,A,deepseek_pro,seo,1,95,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P1_r2,A,deepseek_pro,seo,1,32,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P2_r1,A,deepseek_pro,seo,1,65,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P2_r2,A,deepseek_pro,seo,1,48,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P3_r1,A,deepseek_pro,seo,1,80,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b006_P3_r2,A,deepseek_pro,seo,1,90,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P1_r1,A,deepseek_pro,seo,1,59,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P1_r2,A,deepseek_pro,seo,1,79,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P2_r1,A,deepseek_pro,seo,1,53,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P2_r2,A,deepseek_pro,seo,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P3_r1,A,deepseek_pro,seo,1,107,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b007_P3_r2,A,deepseek_pro,seo,1,116,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b008_P1_r1,A,deepseek_pro,seo,1,91,0.0,0,1,0,0.0,0.0,1.419446,
deepseek_pro_b008_P1_r2,A,deepseek_pro,seo,1,98,0.0,0,1,0,0.0,0.0,0.710732,
deepseek_pro_b008_P2_r1,A,deepseek_pro,seo,1,62,0.0,0,1,0,0.0,0.0,1.234568,
deepseek_pro_b008_P2_r2,A,deepseek_pro,seo,1,48,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b008_P3_r1,A,deepseek_pro,seo,1,98,0.0,0,1,0,0.0,0.0,1.493652,
deepseek_pro_b008_P3_r2,A,deepseek_pro,seo,1,79,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b009_P1_r1,A,deepseek_pro,seo,1,110,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b009_P1_r2,A,deepseek_pro,seo,1,57,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b009_P2_r1,A,deepseek_pro,seo,1,48,0.0,0,1,0,0.0,0.0,1.310616,
deepseek_pro_b009_P2_r2,A,deepseek_pro,seo,1,38,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b009_P3_r1,A,deepseek_pro,seo,1,71,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b009_P3_r2,A,deepseek_pro,seo,1,55,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P1_r1,A,deepseek_pro,seo,1,103,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P1_r2,A,deepseek_pro,seo,1,73,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P2_r1,A,deepseek_pro,seo,1,112,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P2_r2,A,deepseek_pro,seo,1,73,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P3_r1,A,deepseek_pro,seo,1,65,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b010_P3_r2,A,deepseek_pro,seo,1,80,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b011_P1_r1,A,deepseek_pro,seo,1,73,0.0,0,1,0,0.0,0.0,0.909918,
deepseek_pro_b011_P1_r2,A,deepseek_pro,seo,1,61,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b011_P2_r1,A,deepseek_pro,seo,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b011_P2_r2,A,deepseek_pro,seo,1,42,0.0,0,1,0,0.0,0.0,0.0,
deepseek_pro_b011_P3_r1,A,deepseek_pro,seo,1,103,0.0,0,1,0,0.0,0.0,0.0,
