contrast,brief_id,generation_channel,repeat_index,doc_left,doc_right
P3-P1,b001,deepseek_pro,1,deepseek_pro_b001_P3_r1,deepseek_pro_b001_P1_r1
P3-P1,b001,deepseek_pro,2,deepseek_pro_b001_P3_r2,deepseek_pro_b001_P1_r2
P3-P1,b001,gpt,1,gpt_b001_P3_r1,gpt_b001_P1_r1
P3-P1,b001,gpt,2,gpt_b001_P3_r2,gpt_b001_P1_r2
P3-P1,b001,nemotron,1,nemotron_b001_P3_r1,nemotron_b001_P1_r1
P3-P1,b001,nemotron,2,nemotron_b001_P3_r2,nemotron_b001_P1_r2
P3-P1,b001,real_claude,1,real_claude_b001_P3_r1,real_claude_b001_P1_r1
P3-P1,b001,real_claude,2,real_claude_b001_P3_r2,real_claude_b001_P1_r2
P3-P1,b002,deepseek_pro,1,deepseek_pro_b002_P3_r1,deepseek_pro_b002_P1_r1
P3-P1,b002,deepseek_pro,2,deepseek_pro_b002_P3_r2,deepseek_pro_b002_P1_r2
P3-P1,b002,gpt,1,gpt_b002_P3_r1,gpt_b002_P1_r1
P3-P1,b002,gpt,2,gpt_b002_P3_r2,gpt_b002_P1_r2
P3-P1,b002,nemotron,1,nemotron_b002_P3_r1,nemotron_b002_P1_r1
P3-P1,b002,nemotron,2,nemotron_b002_P3_r2,nemotron_b002_P1_r2
P3-P1,b002,real_claude,1,real_claude_b002_P3_r1,real_claude_b002_P1_r1
P3-P1,b002,real_claude,2,real_claude_b002_P3_r2,real_claude_b002_P1_r2
P3-P1,b003,deepseek_pro,1,deepseek_pro_b003_P3_r1,deepseek_pro_b003_P1_r1
P3-P1,b003,deepseek_pro,2,deepseek_pro_b003_P3_r2,deepseek_pro_b003_P1_r2
P3-P1,b003,gpt,1,gpt_b003_P3_r1,gpt_b003_P1_r1
P3-P1,b003,gpt,2,gpt_b003_P3_r2,gpt_b003_P1_r2
P3-P1,b003,nemotron,1,nemotron_b003_P3_r1,nemotron_b003_P1_r1
P3-P1,b003,nemotron,2,nemotron_b003_P3_r2,nemotron_b003_P1_r2
P3-P1,b003,real_claude,1,real_claude_b003_P3_r1,real_claude_b003_P1_r1
P3-P1,b003,real_claude,2,real_claude_b003_P3_r2,real_claude_b003_P1_r2
P3-P1,b004,deepseek_pro,1,deepseek_pro_b004_P3_r1,deepseek_pro_b004_P1_r1
P3-P1,b004,deepseek_pro,2,deepseek_pro_b004_P3_r2,deepseek_pro_b004_P1_r2
P3-P1,b004,gpt,1,gpt_b004_P3_r1,gpt_b004_P1_r1
P3-P1,b004,gpt,2,gpt_b004_P3_r2,gpt_b004_P1_r2
P3-P1,b004,nemotron,1,nemotron_b004_P3_r1,nemotron_b004_P1_r1
P3-P1,b004,nemotron,2,nemotron_b004_P3_r2,nemotron_b004_P1_r2
P3-P1,b004,real_claude,1,real_claude_b004_P3_r1,real_claude_b004_P1_r1
P3-P1,b004,real_claude,2,real_claude_b004_P3_r2,real_claude_b004_P1_r2
P3-P1,b005,deepseek_pro,1,deepseek_pro_b005_P3_r1,deepseek_pro_b005_P1_r1
P3-P1,b005,deepseek_pro,2,deepseek_pro_b005_P3_r2,deepseek_pro_b005_P1_r2
P3-P1,b005,gpt,1,gpt_b005_P3_r1,gpt_b005_P1_r1
P3-P1,b005,gpt,2,gpt_b005_P3_r2,gpt_b005_P1_r2
P3-P1,b005,nemotron,1,nemotron_b005_P3_r1,nemotron_b005_P1_r1
P3-P1,b005,nemotron,2,nemotron_b005_P3_r2,nemotron_b005_P1_r2
P3-P1,b005,real_claude,1,real_claude_b005_P3_r1,real_claude_b005_P1_r1
P3-P1,b005,real_claude,2,real_claude_b005_P3_r2,real_claude_b005_P1_r2
P3-P1,b006,deepseek_pro,1,deepseek_pro_b006_P3_r1,deepseek_pro_b006_P1_r1
P3-P1,b006,deepseek_pro,2,deepseek_pro_b006_P3_r2,deepseek_pro_b006_P1_r2
