document_id,origin_class,genre,prompt_condition,regulation_level,index_common,score_format,index_common_plus_format,n_features_common,n_features_format,excluded_categories
human_seo_author_archive_0001,H,seo,,2,36.9883,0.0000,30.5556,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_seo_author_archive_0002,H,seo,,2,48.0994,0.0000,39.7343,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_seo_author_archive_0003,H,seo,,2,30.9942,0.0000,25.6039,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_seo_author_archive_0004,H,seo,,2,57.3099,25.0000,51.6908,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_seo_author_archive_0005,H,seo,,2,44.2251,12.5000,38.7077,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_seo_author_archive_0006,H,seo,,2,51.2427,12.5000,44.5048,18,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0001,H,news,,1,54.3129,0.0000,44.8671,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0002,H,news,,1,49.0497,0.0000,40.5193,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0003,H,news,,1,52.5585,0.0000,43.4179,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0004,H,news,,1,45.4678,0.0000,37.5604,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0005,H,news,,1,55.4825,0.0000,45.8333,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0006,H,news,,1,52.7778,0.0000,43.5990,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0007,H,news,,1,26.9006,0.0000,22.2222,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0008,H,news,,1,60.4532,0.0000,49.9396,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0009,H,news,,1,35.0877,0.0000,28.9855,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0010,H,news,,1,39.4737,0.0000,32.6087,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0011,H,news,,1,39.4006,0.0000,32.5483,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0012,H,news,,1,44.2982,0.0000,36.5942,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0013,H,news,,1,54.1667,0.0000,44.7464,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0014,H,news,,1,52.4123,0.0000,43.2971,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0015,H,news,,1,57.7485,0.0000,47.7053,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0016,H,news,,1,74.1228,0.0000,61.2319,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0017,H,news,,1,40.6433,0.0000,33.5749,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0018,H,news,,1,31.7251,0.0000,26.2077,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0019,H,news,,1,56.2865,0.0000,46.4976,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0020,H,news,,1,53.7281,0.0000,44.3841,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0021,H,news,,1,50.3655,0.0000,41.6063,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0022,H,news,,1,68.5673,0.0000,56.6425,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0023,H,news,,1,32.9678,0.0000,27.2343,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0024,H,news,,1,23.0263,0.0000,19.0217,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0025,H,news,,1,63.3041,0.0000,52.2947,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0026,H,news,,1,45.7602,0.0000,37.8019,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0027,H,news,,1,56.8713,0.0000,46.9807,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0028,H,news,,1,54.7515,0.0000,45.2295,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0029,H,news,,1,54.5322,0.0000,45.0483,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
human_news_lenta_0030,H,news,,1,50.0000,0.0000,41.3043,17,4,Morphological;POS;Emotion;Psycholinguistic;Knockoff
