document_id,m01_baseline,m01_s01,delta,delta_z,sentences
deepseek_pro_b002_P3_r1,0.085796,0.09109592,0.00529992,0.365479,68
deepseek_pro_b004_P2_r1,0.0708657,0.0816614,0.0107957,0.744466,47
deepseek_pro_b007_P3_r2,0.0863351,0.09202024,0.00568514,0.392044,104
deepseek_pro_b009_P1_r1,0.0801506,0.08040906,0.00025846,0.017823,95
deepseek_pro_b009_P2_r2,0.0552521,0.06363036,0.00837826,0.577761,31
deepseek_pro_b021_P2_r2,0.0819458,0.09091787,0.00897207,0.618709,28
deepseek_pro_b037_P2_r2,0.0755938,0.08635938,0.01076558,0.742389,46
deepseek_pro_b038_P1_r2,0.0787354,0.07129946,-0.00743594,-0.512778,106
gpt_b004_P1_r1,0.0927443,0.08722185,-0.00552245,-0.380825,73
gpt_b004_P3_r1,0.0857162,0.08035567,-0.00536053,-0.369659,81
gpt_b021_P3_r2,0.0753566,0.07939157,0.00403497,0.27825,71
gpt_b026_P1_r1,0.0650063,0.06490541,-0.00010089,-0.006957,85
gpt_b028_P2_r1,0.0809882,0.07414733,-0.00684087,-0.471743,57
gpt_b031_P1_r1,0.0669844,0.06952673,0.00254233,0.175318,69
gpt_b040_P2_r1,0.0587453,0.06958906,0.01084376,0.74778,64
human_hard_rusltc_0001,0.0626507,0.07941135,0.01676065,1.155805,27
human_hard_rusltc_0002,0.1044,0.10367013,-0.00072987,-0.050331,40
human_hard_rusltc_0003,0.100985,0.10813373,0.00714873,0.492972,51
human_hard_rusltc_0055,0.110214,0.11018504,-2.896e-05,-0.001997,41
human_hard_rusltc_0068,0.0914464,0.09442248,0.00297608,0.205229,34
human_hard_rusltc_0073,0.0969622,0.09125161,-0.00571059,-0.393799,72
human_news_buriy_2014_0027,0.0943423,0.09629127,0.00194897,0.1344,32
human_news_buriy_2014_0034,0.0816584,0.09191974,0.01026134,0.707616,45
human_news_gazeta_0031,0.0817351,0.07128448,-0.01045062,-0.720669,38
human_news_gazeta_0040,0.0724504,0.11385055,0.04140015,2.854932,30
human_news_lenta_0001,0.0737654,0.07100277,-0.00276263,-0.19051,25
human_news_lenta_0016,0.0982758,0.09206509,-0.00621071,-0.428288,57
human_prose_taiga_arzamas_0050,0.0913642,0.08959368,-0.00177052,-0.122094,64
human_prose_taiga_arzamas_0051,0.0920288,0.09548439,0.00345559,0.238295,70
human_prose_taiga_magazines_0048,0.0928769,0.08860222,-0.00427468,-0.29478,194
human_prose_taiga_magazines_0053,0.0595031,0.07799918,0.01849608,1.27548,21
human_prose_taiga_proza_0034,0.0794289,0.07483259,-0.00459631,-0.316959,50
human_prose_taiga_proza_0056,0.0951463,0.09134752,-0.00379878,-0.261962,58
human_science_cyberleninka_0026,0.0803584,0.08522526,0.00486686,0.335616,70
human_science_cyberleninka_0031,0.0989596,0.09503357,-0.00392603,-0.270737,56
human_science_cyberleninka_0032,0.0906381,0.12075585,0.03011775,2.076904,35
human_science_cyberleninka_0053,0.136737,0.13764053,0.00090353,0.062307,156
human_science_spbgu_0024,0.0918653,0.09083465,-0.00103065,-0.071073,167
human_science_urfu_0028,0.10706,0.10970544,0.00264544,0.182428,175
human_seo_alaev_0004,0.086885,0.08485968,-0.00202532,-0.139665,119
human_seo_convertmonster_0001,0.12257,0.12968732,0.00711732,0.490807,34
human_seo_devaka_ru_0004,0.10127,0.09798366,-0.00328634,-0.226625,58
human_seo_drmax_0002,0.0873607,0.08598887,-0.00137183,-0.094601,126
human_seo_drmax_su_0001,0.111346,0.10750979,-0.00383621,-0.264543,52
human_seo_labrika_0002,0.114334,0.12158282,0.00724882,0.499874,94
nemotron_b012_P1_r1,0.0710955,0.07068609,-0.00040941,-0.028232,31
nemotron_b015_P3_r2,0.0877618,0.085745,-0.0020168,-0.139078,95
nemotron_b016_P1_r1,0.0768104,0.07597129,-0.00083911,-0.057864,56
nemotron_b022_P3_r2,0.0827476,0.07678376,-0.00596384,-0.411263,81
nemotron_b028_P1_r2,0.0691993,0.0672781,-0.0019212,-0.132485,73
nemotron_b033_P2_r2,0.0679757,0.0696384,0.0016627,0.114659,23
nemotron_b038_P1_r2,0.0680912,0.0687251,0.0006339,0.043713,74
real_claude_b015_P2_r1,0.0860218,0.09081832,0.00479652,0.330765,33
real_claude_b018_P3_r2,0.0724335,0.0679991,-0.0044344,-0.305794,67
real_claude_b024_P1_r2,0.078535,0.08076975,0.00223475,0.154107,53
real_claude_b025_P2_r1,0.082517,0.0851951,0.0026781,0.184681,33
real_claude_b034_P2_r2,0.0779007,0.06795147,-0.00994923,-0.686094,55
real_claude_b040_P3_r2,0.0731518,0.06316436,-0.00998744,-0.688728,73
real_claude_b042_P3_r2,0.0588277,0.05916059,0.00033289,0.022956,59
real_claude_b045_P3_r1,0.0697103,0.06662223,-0.00308807,-0.212952,84
