split,part,document_id
holdout_author,train,human_seo_drmax_0008
holdout_author,train,human_seo_texterra_ru_0013
holdout_author,train,human_seo_texterra_ru_0014
holdout_author,train,human_seo_texterra_ru_0015
holdout_author,train,human_seo_texterra_ru_0016
holdout_author,train,human_seo_texterra_ru_0017
holdout_author,test,human_news_lenta_0003
holdout_author,test,human_news_lenta_0005
holdout_author,test,human_news_lenta_0006
holdout_author,test,human_news_lenta_0008
holdout_author,test,human_news_lenta_0011
holdout_author,test,human_news_lenta_0019
holdout_author,test,human_news_lenta_0020
holdout_author,test,human_news_lenta_0025
holdout_author,test,human_news_lenta_0026
holdout_author,test,human_news_lenta_0028
holdout_author,test,human_news_lenta_0030
holdout_author,test,human_news_lenta_0031
holdout_author,test,human_news_lenta_0032
holdout_author,test,human_news_lenta_0033
holdout_author,test,human_news_lenta_0035
holdout_author,test,human_news_lenta_0037
holdout_author,test,human_news_lenta_0038
holdout_author,test,human_news_lenta_0043
holdout_author,test,human_news_lenta_0047
holdout_author,test,human_news_lenta_0048
holdout_author,test,human_news_lenta_0050
holdout_author,test,human_news_lenta_0052
holdout_author,test,human_news_lenta_0054
holdout_author,test,human_news_lenta_0056
holdout_author,test,human_news_lenta_0057
holdout_author,test,human_news_lenta_0058
holdout_author,test,human_news_lenta_0059
holdout_author,test,human_news_lenta_0060
holdout_genre_analytics,train,human_seo_drmax_0008
holdout_genre_analytics,train,human_seo_texterra_ru_0013
holdout_genre_analytics,train,human_seo_texterra_ru_0014
holdout_genre_analytics,train,human_seo_texterra_ru_0015
holdout_genre_analytics,train,human_seo_texterra_ru_0016
holdout_genre_analytics,train,human_seo_texterra_ru_0017
holdout_genre_analytics,test,human_news_lenta_0003
holdout_genre_analytics,test,human_news_lenta_0005
holdout_genre_analytics,test,human_news_lenta_0006
holdout_genre_analytics,test,human_news_lenta_0008
holdout_genre_analytics,test,human_news_lenta_0011
holdout_genre_analytics,test,human_news_lenta_0019
holdout_genre_analytics,test,human_news_lenta_0020
holdout_genre_analytics,test,human_news_lenta_0025
holdout_genre_analytics,test,human_news_lenta_0026
holdout_genre_analytics,test,human_news_lenta_0028
holdout_genre_analytics,test,human_news_lenta_0030
holdout_genre_analytics,test,human_news_lenta_0031
holdout_genre_analytics,test,human_news_lenta_0032
holdout_genre_analytics,test,human_news_lenta_0033
holdout_genre_analytics,test,human_news_lenta_0035
holdout_genre_analytics,test,human_news_lenta_0037
holdout_genre_analytics,test,human_news_lenta_0038
holdout_genre_analytics,test,human_news_lenta_0043
holdout_genre_analytics,test,human_news_lenta_0047
holdout_genre_analytics,test,human_news_lenta_0048
holdout_genre_analytics,test,human_news_lenta_0050
holdout_genre_analytics,test,human_news_lenta_0052
holdout_genre_analytics,test,human_news_lenta_0054
holdout_genre_analytics,test,human_news_lenta_0056
holdout_genre_analytics,test,human_news_lenta_0057
holdout_genre_analytics,test,human_news_lenta_0058
holdout_genre_analytics,test,human_news_lenta_0059
holdout_genre_analytics,test,human_news_lenta_0060
holdout_genre_commercial,train,human_seo_drmax_0008
holdout_genre_commercial,train,human_seo_texterra_ru_0013
holdout_genre_commercial,train,human_seo_texterra_ru_0014
holdout_genre_commercial,train,human_seo_texterra_ru_0015
holdout_genre_commercial,train,human_seo_texterra_ru_0016
holdout_genre_commercial,train,human_seo_texterra_ru_0017
holdout_genre_commercial,test,human_news_lenta_0003
holdout_genre_commercial,test,human_news_lenta_0005
holdout_genre_commercial,test,human_news_lenta_0006
holdout_genre_commercial,test,human_news_lenta_0008
holdout_genre_commercial,test,human_news_lenta_0011
holdout_genre_commercial,test,human_news_lenta_0019
holdout_genre_commercial,test,human_news_lenta_0020
holdout_genre_commercial,test,human_news_lenta_0025
holdout_genre_commercial,test,human_news_lenta_0026
holdout_genre_commercial,test,human_news_lenta_0028
holdout_genre_commercial,test,human_news_lenta_0030
holdout_genre_commercial,test,human_news_lenta_0031
holdout_genre_commercial,test,human_news_lenta_0032
holdout_genre_commercial,test,human_news_lenta_0033
holdout_genre_commercial,test,human_news_lenta_0035
holdout_genre_commercial,test,human_news_lenta_0037
holdout_genre_commercial,test,human_news_lenta_0038
holdout_genre_commercial,test,human_news_lenta_0043
holdout_genre_commercial,test,human_news_lenta_0047
holdout_genre_commercial,test,human_news_lenta_0048
holdout_genre_commercial,test,human_news_lenta_0050
holdout_genre_commercial,test,human_news_lenta_0052
holdout_genre_commercial,test,human_news_lenta_0054
holdout_genre_commercial,test,human_news_lenta_0056
holdout_genre_commercial,test,human_news_lenta_0057
holdout_genre_commercial,test,human_news_lenta_0058
holdout_genre_commercial,test,human_news_lenta_0059
holdout_genre_commercial,test,human_news_lenta_0060
holdout_genre_news,train,human_seo_drmax_0008
holdout_genre_news,train,human_seo_texterra_ru_0013
holdout_genre_news,train,human_seo_texterra_ru_0014
holdout_genre_news,train,human_seo_texterra_ru_0015
holdout_genre_news,train,human_seo_texterra_ru_0016
holdout_genre_news,train,human_seo_texterra_ru_0017
holdout_genre_news,test,human_news_lenta_0003
holdout_genre_news,test,human_news_lenta_0005
holdout_genre_news,test,human_news_lenta_0006
holdout_genre_news,test,human_news_lenta_0008
holdout_genre_news,test,human_news_lenta_0011
holdout_genre_news,test,human_news_lenta_0019
holdout_genre_news,test,human_news_lenta_0020
holdout_genre_news,test,human_news_lenta_0025
holdout_genre_news,test,human_news_lenta_0026
holdout_genre_news,test,human_news_lenta_0028
holdout_genre_news,test,human_news_lenta_0030
holdout_genre_news,test,human_news_lenta_0031
holdout_genre_news,test,human_news_lenta_0032
holdout_genre_news,test,human_news_lenta_0033
holdout_genre_news,test,human_news_lenta_0035
holdout_genre_news,test,human_news_lenta_0037
holdout_genre_news,test,human_news_lenta_0038
holdout_genre_news,test,human_news_lenta_0043
holdout_genre_news,test,human_news_lenta_0047
holdout_genre_news,test,human_news_lenta_0048
holdout_genre_news,test,human_news_lenta_0050
holdout_genre_news,test,human_news_lenta_0052
holdout_genre_news,test,human_news_lenta_0054
holdout_genre_news,test,human_news_lenta_0056
holdout_genre_news,test,human_news_lenta_0057
holdout_genre_news,test,human_news_lenta_0058
holdout_genre_news,test,human_news_lenta_0059
holdout_genre_news,test,human_news_lenta_0060
holdout_genre_prose,train,human_seo_drmax_0008
holdout_genre_prose,train,human_seo_texterra_ru_0013
holdout_genre_prose,train,human_seo_texterra_ru_0014
holdout_genre_prose,train,human_seo_texterra_ru_0015
holdout_genre_prose,train,human_seo_texterra_ru_0016
holdout_genre_prose,train,human_seo_texterra_ru_0017
holdout_genre_prose,test,human_news_lenta_0003
holdout_genre_prose,test,human_news_lenta_0005
holdout_genre_prose,test,human_news_lenta_0006
holdout_genre_prose,test,human_news_lenta_0008
holdout_genre_prose,test,human_news_lenta_0011
holdout_genre_prose,test,human_news_lenta_0019
holdout_genre_prose,test,human_news_lenta_0020
holdout_genre_prose,test,human_news_lenta_0025
holdout_genre_prose,test,human_news_lenta_0026
holdout_genre_prose,test,human_news_lenta_0028
holdout_genre_prose,test,human_news_lenta_0030
holdout_genre_prose,test,human_news_lenta_0031
holdout_genre_prose,test,human_news_lenta_0032
holdout_genre_prose,test,human_news_lenta_0033
holdout_genre_prose,test,human_news_lenta_0035
holdout_genre_prose,test,human_news_lenta_0037
holdout_genre_prose,test,human_news_lenta_0038
holdout_genre_prose,test,human_news_lenta_0043
holdout_genre_prose,test,human_news_lenta_0047
holdout_genre_prose,test,human_news_lenta_0048
holdout_genre_prose,test,human_news_lenta_0050
holdout_genre_prose,test,human_news_lenta_0052
holdout_genre_prose,test,human_news_lenta_0054
holdout_genre_prose,test,human_news_lenta_0056
holdout_genre_prose,test,human_news_lenta_0057
holdout_genre_prose,test,human_news_lenta_0058
holdout_genre_prose,test,human_news_lenta_0059
holdout_genre_prose,test,human_news_lenta_0060
holdout_genre_science,train,human_seo_drmax_0008
holdout_genre_science,train,human_seo_texterra_ru_0013
holdout_genre_science,train,human_seo_texterra_ru_0014
holdout_genre_science,train,human_seo_texterra_ru_0015
holdout_genre_science,train,human_seo_texterra_ru_0016
holdout_genre_science,train,human_seo_texterra_ru_0017
holdout_genre_science,test,human_news_lenta_0003
holdout_genre_science,test,human_news_lenta_0005
holdout_genre_science,test,human_news_lenta_0006
holdout_genre_science,test,human_news_lenta_0008
holdout_genre_science,test,human_news_lenta_0011
holdout_genre_science,test,human_news_lenta_0019
holdout_genre_science,test,human_news_lenta_0020
holdout_genre_science,test,human_news_lenta_0025
holdout_genre_science,test,human_news_lenta_0026
holdout_genre_science,test,human_news_lenta_0028
holdout_genre_science,test,human_news_lenta_0030
holdout_genre_science,test,human_news_lenta_0031
holdout_genre_science,test,human_news_lenta_0032
holdout_genre_science,test,human_news_lenta_0033
holdout_genre_science,test,human_news_lenta_0035
holdout_genre_science,test,human_news_lenta_0037
holdout_genre_science,test,human_news_lenta_0038
holdout_genre_science,test,human_news_lenta_0043
holdout_genre_science,test,human_news_lenta_0047
holdout_genre_science,test,human_news_lenta_0048
holdout_genre_science,test,human_news_lenta_0050
holdout_genre_science,test,human_news_lenta_0052
holdout_genre_science,test,human_news_lenta_0054
holdout_genre_science,test,human_news_lenta_0056
holdout_genre_science,test,human_news_lenta_0057
holdout_genre_science,test,human_news_lenta_0058
holdout_genre_science,test,human_news_lenta_0059
holdout_genre_science,test,human_news_lenta_0060
holdout_genre_seo,test,human_news_lenta_0003
holdout_genre_seo,test,human_news_lenta_0005
holdout_genre_seo,test,human_news_lenta_0006
holdout_genre_seo,test,human_news_lenta_0008
holdout_genre_seo,test,human_news_lenta_0011
holdout_genre_seo,test,human_news_lenta_0019
holdout_genre_seo,test,human_news_lenta_0020
holdout_genre_seo,test,human_news_lenta_0025
holdout_genre_seo,test,human_news_lenta_0026
holdout_genre_seo,test,human_news_lenta_0028
holdout_genre_seo,test,human_news_lenta_0030
holdout_genre_seo,test,human_news_lenta_0031
holdout_genre_seo,test,human_news_lenta_0032
holdout_genre_seo,test,human_news_lenta_0033
holdout_genre_seo,test,human_news_lenta_0035
holdout_genre_seo,test,human_news_lenta_0037
holdout_genre_seo,test,human_news_lenta_0038
holdout_genre_seo,test,human_news_lenta_0043
holdout_genre_seo,test,human_news_lenta_0047
holdout_genre_seo,test,human_news_lenta_0048
holdout_genre_seo,test,human_news_lenta_0050
holdout_genre_seo,test,human_news_lenta_0052
holdout_genre_seo,test,human_news_lenta_0054
holdout_genre_seo,test,human_news_lenta_0056
holdout_genre_seo,test,human_news_lenta_0057
holdout_genre_seo,test,human_news_lenta_0058
holdout_genre_seo,test,human_news_lenta_0059
holdout_genre_seo,test,human_news_lenta_0060
holdout_genre_seo,test,human_seo_drmax_0008
holdout_genre_seo,test,human_seo_texterra_ru_0013
holdout_genre_seo,test,human_seo_texterra_ru_0014
holdout_genre_seo,test,human_seo_texterra_ru_0015
holdout_genre_seo,test,human_seo_texterra_ru_0016
holdout_genre_seo,test,human_seo_texterra_ru_0017
holdout_genre_translation,train,human_seo_drmax_0008
holdout_genre_translation,train,human_seo_texterra_ru_0013
holdout_genre_translation,train,human_seo_texterra_ru_0014
holdout_genre_translation,train,human_seo_texterra_ru_0015
holdout_genre_translation,train,human_seo_texterra_ru_0016
holdout_genre_translation,train,human_seo_texterra_ru_0017
holdout_genre_translation,test,human_news_lenta_0003
holdout_genre_translation,test,human_news_lenta_0005
holdout_genre_translation,test,human_news_lenta_0006
holdout_genre_translation,test,human_news_lenta_0008
holdout_genre_translation,test,human_news_lenta_0011
holdout_genre_translation,test,human_news_lenta_0019
holdout_genre_translation,test,human_news_lenta_0020
holdout_genre_translation,test,human_news_lenta_0025
holdout_genre_translation,test,human_news_lenta_0026
holdout_genre_translation,test,human_news_lenta_0028
holdout_genre_translation,test,human_news_lenta_0030
holdout_genre_translation,test,human_news_lenta_0031
holdout_genre_translation,test,human_news_lenta_0032
holdout_genre_translation,test,human_news_lenta_0033
holdout_genre_translation,test,human_news_lenta_0035
holdout_genre_translation,test,human_news_lenta_0037
holdout_genre_translation,test,human_news_lenta_0038
holdout_genre_translation,test,human_news_lenta_0043
holdout_genre_translation,test,human_news_lenta_0047
