document_id,transform_number,origin_class,generation_channel,nll_baseline,nll_transformed,delta_nll,scored_tokens,n_windows,status
deepseek_pro_b002_P3_r1,1,A,deepseek_pro,2.932154,2.936135,0.003981,2188,4,ok
deepseek_pro_b004_P2_r1,1,A,deepseek_pro,2.962420,2.965792,0.003372,1462,2,ok
deepseek_pro_b007_P3_r2,1,A,deepseek_pro,3.047212,3.049798,0.002586,2708,5,ok
deepseek_pro_b009_P1_r1,1,A,deepseek_pro,2.999451,2.999829,0.000378,2933,5,ok
deepseek_pro_b009_P2_r2,1,A,deepseek_pro,2.931191,2.937648,0.006457,1067,2,ok
deepseek_pro_b021_P2_r2,1,A,deepseek_pro,2.957460,2.963576,0.006116,649,1,ok
deepseek_pro_b037_P2_r2,1,A,deepseek_pro,3.110237,3.109831,-0.000406,1224,2,ok
deepseek_pro_b038_P1_r2,1,A,deepseek_pro,3.184690,3.184317,-0.000373,2763,5,ok
gpt_b004_P1_r1,1,A,gpt,3.141123,3.141661,0.000538,1944,3,ok
gpt_b004_P3_r1,1,A,gpt,3.241070,3.241882,0.000812,1934,3,ok
gpt_b021_P3_r2,1,A,gpt,3.423261,3.423959,0.000698,1952,3,ok
gpt_b026_P1_r1,1,A,gpt,2.959196,2.960305,0.001109,2228,4,ok
gpt_b028_P2_r1,1,A,gpt,3.233938,3.236158,0.002220,1339,2,ok
gpt_b031_P1_r1,1,A,gpt,2.903248,2.903105,-0.000143,2211,4,ok
gpt_b040_P2_r1,1,A,gpt,3.096807,3.100649,0.003842,1661,3,ok
human_hard_rusltc_0001,1,H,,3.121580,3.120417,-0.001163,1067,2,ok
human_hard_rusltc_0002,1,H,,2.809068,2.810766,0.001698,1350,2,ok
human_hard_rusltc_0003,1,H,,3.290485,3.289230,-0.001255,2403,4,ok
human_hard_rusltc_0055,1,H,,2.648841,2.648841,-0.000000,1106,2,applied_no_change
human_hard_rusltc_0068,1,H,,2.655230,2.657191,0.001961,1404,2,ok
human_hard_rusltc_0073,1,H,,3.063622,3.063622,0.000000,2242,4,applied_no_change
human_news_buriy_2014_0027,1,H,,2.947762,2.942545,-0.005217,1169,2,ok
human_news_buriy_2014_0034,1,H,,2.498666,2.489130,-0.009536,1800,3,ok
human_news_gazeta_0031,1,H,,2.431371,2.428333,-0.003038,1327,2,ok
human_news_gazeta_0040,1,H,,2.576308,2.577078,0.000770,1217,2,ok
human_news_lenta_0001,1,H,,2.672448,2.674778,0.002330,1060,2,ok
human_news_lenta_0016,1,H,,2.354553,2.358905,0.004352,1673,3,ok
human_prose_taiga_arzamas_0050,1,H,,2.864683,2.864683,0.000000,2356,4,applied_no_change
human_prose_taiga_arzamas_0051,1,H,,2.834851,2.834851,0.000000,2413,4,applied_no_change
human_prose_taiga_magazines_0048,1,H,,3.268327,3.268792,0.000465,6155,12,ok
human_prose_taiga_magazines_0053,1,H,,3.980711,3.983074,0.002363,1337,2,ok
human_prose_taiga_proza_0034,1,H,,2.506692,2.506692,0.000000,1172,2,applied_no_change
human_prose_taiga_proza_0056,1,H,,3.359663,3.352012,-0.007651,1851,3,ok
human_science_cyberleninka_0026,1,H,,2.455090,2.455448,0.000358,3171,6,ok
