split_name,document_id,origin_class,generation_channel,prob_ai,decision_ai,C
holdout_author,human_hard_rusltc_0001,H,,0.0159988492,0,0.1
holdout_author,human_hard_rusltc_0002,H,,0.0013296446,0,0.1
holdout_author,human_hard_rusltc_0003,H,,0.0312843519,0,0.1
holdout_author,human_hard_rusltc_0004,H,,0.1003837491,0,0.1
holdout_author,human_hard_rusltc_0005,H,,0.0000753991,0,0.1
holdout_author,human_hard_rusltc_0006,H,,0.0083650302,0,0.1
holdout_author,human_hard_rusltc_0007,H,,0.0011675518,0,0.1
holdout_author,human_hard_rusltc_0008,H,,0.0046710469,0,0.1
holdout_author,human_hard_rusltc_0009,H,,0.0246041734,0,0.1
holdout_author,human_hard_rusltc_0010,H,,0.0084447789,0,0.1
holdout_author,human_hard_rusltc_0011,H,,0.0156439578,0,0.1
holdout_author,human_hard_rusltc_0012,H,,0.0668327331,0,0.1
holdout_author,human_hard_rusltc_0013,H,,0.6141464590,1,0.1
holdout_author,human_hard_rusltc_0014,H,,0.0286226679,0,0.1
holdout_author,human_hard_rusltc_0015,H,,0.0325672897,0,0.1
holdout_author,human_hard_rusltc_0016,H,,0.1691915460,0,0.1
holdout_author,human_hard_rusltc_0017,H,,0.2018618319,0,0.1
holdout_author,human_hard_rusltc_0018,H,,0.0398752114,0,0.1
holdout_author,human_hard_rusltc_0019,H,,0.0038161456,0,0.1
holdout_author,human_hard_rusltc_0020,H,,0.0029308703,0,0.1
holdout_author,human_hard_rusltc_0021,H,,0.0546503605,0,0.1
holdout_author,human_hard_rusltc_0022,H,,0.1127124328,0,0.1
holdout_author,human_hard_rusltc_0023,H,,0.1084566301,0,0.1
holdout_author,human_hard_rusltc_0024,H,,0.0300046731,0,0.1
holdout_author,human_hard_rusltc_0025,H,,0.1012289458,0,0.1
holdout_author,human_hard_rusltc_0026,H,,0.3249658895,0,0.1
holdout_author,human_hard_rusltc_0027,H,,0.0760394812,0,0.1
holdout_author,human_hard_rusltc_0028,H,,0.0010689022,0,0.1
holdout_author,human_hard_rusltc_0029,H,,0.3341198284,0,0.1
holdout_author,human_hard_rusltc_0030,H,,0.0018559006,0,0.1
holdout_author,human_hard_rusltc_0031,H,,0.0055010266,0,0.1
holdout_author,human_hard_rusltc_0032,H,,0.0004485443,0,0.1
holdout_author,human_hard_rusltc_0033,H,,0.0017420540,0,0.1
holdout_author,human_hard_rusltc_0034,H,,0.0202418359,0,0.1
holdout_author,human_hard_rusltc_0035,H,,0.2674677279,0,0.1
holdout_author,human_hard_rusltc_0036,H,,0.1629803447,0,0.1
holdout_author,human_hard_rusltc_0037,H,,0.1035229972,0,0.1
holdout_author,human_hard_rusltc_0038,H,,0.0183031434,0,0.1
holdout_author,human_hard_rusltc_0039,H,,0.0010400875,0,0.1
holdout_author,human_hard_rusltc_0040,H,,0.0195990004,0,0.1
holdout_author,human_hard_rusltc_0041,H,,0.0323440452,0,0.1
holdout_author,human_hard_rusltc_0042,H,,0.0000032885,0,0.1
holdout_author,human_hard_rusltc_0043,H,,0.0613311497,0,0.1
holdout_author,human_hard_rusltc_0044,H,,0.2229505265,0,0.1
holdout_author,human_hard_rusltc_0045,H,,0.0126064856,0,0.1
holdout_author,human_hard_rusltc_0046,H,,0.1329845637,0,0.1
holdout_author,human_hard_rusltc_0047,H,,0.0839534875,0,0.1
holdout_author,human_hard_rusltc_0048,H,,0.1100145413,0,0.1
holdout_author,human_hard_rusltc_0049,H,,0.0002207863,0,0.1
holdout_author,human_hard_rusltc_0050,H,,0.0045415694,0,0.1
holdout_author,human_hard_rusltc_0051,H,,0.0060550608,0,0.1
holdout_author,human_hard_rusltc_0052,H,,0.6721241470,1,0.1
holdout_author,human_hard_rusltc_0053,H,,0.0633094785,0,0.1
holdout_author,human_hard_rusltc_0054,H,,0.0010250785,0,0.1
holdout_author,human_hard_rusltc_0055,H,,0.0582199561,0,0.1
holdout_author,human_hard_rusltc_0056,H,,0.1605299960,0,0.1
holdout_author,human_hard_rusltc_0057,H,,0.0003182336,0,0.1
holdout_author,human_hard_rusltc_0058,H,,0.0452900040,0,0.1
holdout_author,human_hard_rusltc_0059,H,,0.0119638831,0,0.1
holdout_author,human_hard_rusltc_0060,H,,0.0223351220,0,0.1
holdout_author,human_hard_rusltc_0061,H,,0.0025876512,0,0.1
holdout_author,human_hard_rusltc_0062,H,,0.0664569930,0,0.1
holdout_author,human_hard_rusltc_0063,H,,0.0599867157,0,0.1
holdout_author,human_hard_rusltc_0064,H,,0.7529929176,1,0.1
holdout_author,human_hard_rusltc_0065,H,,0.0017087137,0,0.1
holdout_author,human_hard_rusltc_0066,H,,0.1225535545,0,0.1
holdout_author,human_hard_rusltc_0067,H,,0.0102628379,0,0.1
holdout_author,human_hard_rusltc_0068,H,,0.0000154530,0,0.1
holdout_author,human_hard_rusltc_0069,H,,0.0856519347,0,0.1
holdout_author,human_hard_rusltc_0070,H,,0.1872721525,0,0.1
holdout_author,human_hard_rusltc_0071,H,,0.0092710260,0,0.1
holdout_author,human_hard_rusltc_0072,H,,0.1265465945,0,0.1
holdout_author,human_hard_rusltc_0073,H,,0.0623789507,0,0.1
holdout_author,human_news_buriy_2014_0001,H,,0.0010730104,0,0.1
