document_id,origin_class,genre,n_eligible_models,n_cells,mean_delta_prob,instability_rate,flip_rate
deepseek_pro_b002_P3_r1,A,seo,3,10,-0.0342319573,0.233333,0.066667
deepseek_pro_b004_P2_r1,A,seo,4,10,-0.1256953906,0.225000,0.125000
deepseek_pro_b007_P3_r2,A,seo,4,10,-0.1143458637,0.250000,0.100000
deepseek_pro_b009_P1_r1,A,seo,3,10,-0.1109103626,0.233333,0.100000
deepseek_pro_b009_P2_r2,A,seo,3,10,-0.1206046666,0.200000,0.100000
deepseek_pro_b021_P2_r2,A,analytics,3,10,-0.1276417915,0.300000,0.100000
deepseek_pro_b037_P2_r2,A,commercial,4,10,-0.0688786791,0.075000,0.075000
deepseek_pro_b038_P1_r2,A,commercial,3,10,-0.1260213224,0.333333,0.100000
gpt_b004_P1_r1,A,seo,4,10,-0.0962086413,0.225000,0.200000
gpt_b004_P3_r1,A,seo,4,10,-0.0992628921,0.225000,0.100000
gpt_b021_P3_r2,A,analytics,3,10,-0.0721152367,0.100000,0.066667
gpt_b026_P1_r1,A,analytics,4,10,-0.1005475738,0.100000,0.100000
gpt_b028_P2_r1,A,analytics,4,10,-0.1333680846,0.300000,0.100000
gpt_b031_P1_r1,A,commercial,3,10,-0.1037243811,0.100000,0.100000
gpt_b040_P2_r1,A,commercial,3,10,-0.1027557706,0.133333,0.100000
human_hard_rusltc_0001,H,translation,18,10,-0.0023666480,0.011111,0.000000
human_hard_rusltc_0002,H,translation,18,10,-0.0001710364,0.000000,0.000000
human_hard_rusltc_0003,H,translation,18,10,-0.0050964712,0.011111,0.000000
human_hard_rusltc_0055,H,translation,18,10,-0.0026387839,0.027778,0.000000
human_hard_rusltc_0068,H,translation,18,10,-0.0000916303,0.000000,0.000000
human_hard_rusltc_0073,H,translation,18,10,-0.0065099622,0.038889,0.000000
human_news_buriy_2014_0027,H,news,18,10,-0.0005592182,0.000000,0.000000
human_news_buriy_2014_0034,H,news,18,10,-0.0049990401,0.022222,0.000000
human_news_gazeta_0031,H,news,18,10,-0.0022674355,0.033333,0.000000
human_news_gazeta_0040,H,news,18,10,-0.0054235257,0.022222,0.000000
human_news_lenta_0001,H,news,18,10,-0.0056116390,0.044444,0.000000
human_news_lenta_0016,H,news,18,10,-0.0021804650,0.055556,0.011111
human_prose_taiga_arzamas_0050,H,prose,1,10,-0.0075516999,0.100000,0.000000
human_prose_taiga_arzamas_0051,H,prose,1,10,-0.0072244411,0.100000,0.000000
human_prose_taiga_magazines_0048,H,prose,2,10,-0.0002126331,0.000000,0.000000
human_prose_taiga_magazines_0053,H,prose,2,10,-0.0012088653,0.000000,0.000000
human_prose_taiga_proza_0034,H,prose,1,10,-0.0024993044,0.000000,0.000000
human_prose_taiga_proza_0056,H,prose,1,10,-0.0045756314,0.200000,0.000000
human_science_cyberleninka_0026,H,science,18,10,-0.0179673333,0.055556,0.016667
human_science_cyberleninka_0031,H,science,18,10,-0.0350947085,0.200000,0.005556
human_science_cyberleninka_0032,H,science,18,10,-0.0158127002,0.094445,0.005556
human_science_cyberleninka_0053,H,science,18,10,-0.0000396570,0.000000,0.000000
human_science_spbgu_0024,H,science,18,10,-0.0001445364,0.000000,0.000000
human_science_urfu_0028,H,science,18,10,-0.0070290007,0.127778,0.000000
human_seo_alaev_0004,H,seo,2,10,-0.0048442454,0.000000,0.000000
human_seo_convertmonster_0001,H,seo,1,10,-0.0193819589,0.600000,0.200000
human_seo_devaka_ru_0004,H,seo,1,10,-0.0999815682,0.100000,0.100000
human_seo_drmax_0002,H,seo,2,10,-0.0173975694,0.200000,0.000000
human_seo_drmax_su_0001,H,seo,1,10,-0.0087761867,0.600000,0.100000
human_seo_labrika_0002,H,seo,2,10,0.0299196469,0.050000,0.050000
nemotron_b012_P1_r1,A,seo,6,10,-0.0939422074,0.200000,0.083333
nemotron_b015_P3_r2,A,seo,5,10,-0.0249720757,0.140000,0.000000
nemotron_b016_P1_r1,A,analytics,6,10,-0.1755803649,0.266667,0.183333
nemotron_b022_P3_r2,A,analytics,5,10,-0.1561814451,0.440000,0.120000
nemotron_b028_P1_r2,A,analytics,6,10,-0.1739163812,0.300000,0.133333
nemotron_b033_P2_r2,A,commercial,5,10,-0.1060949804,0.200000,0.080000
nemotron_b038_P1_r2,A,commercial,5,10,-0.0848192822,0.140000,0.080000
real_claude_b015_P2_r1,A,seo,4,10,-0.1019106302,0.175000,0.100000
real_claude_b018_P3_r2,A,analytics,4,10,-0.0821558065,0.100000,0.075000
real_claude_b024_P1_r2,A,analytics,5,10,-0.0569645183,0.080000,0.060000
real_claude_b025_P2_r1,A,analytics,4,10,-0.0760376630,0.175000,0.075000
real_claude_b034_P2_r2,A,commercial,4,10,-0.0984023856,0.150000,0.100000
real_claude_b040_P3_r2,A,commercial,4,10,-0.0821608421,0.150000,0.075000
real_claude_b042_P3_r2,A,commercial,4,10,-0.1008995126,0.150000,0.100000
real_claude_b045_P3_r1,A,commercial,4,10,-0.1017913092,0.125000,0.100000
