document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
deepseek_pro_b002_P3_r1,1,A,seo,3,0.0017545501,0.000000,0.000000,0.0022830063
deepseek_pro_b002_P3_r1,2,A,seo,3,0.0000000000,0.000000,0.000000,0.0000000000
deepseek_pro_b002_P3_r1,3,A,seo,3,0.0000000000,0.000000,0.000000,0.0000000000
deepseek_pro_b002_P3_r1,4,A,seo,3,0.0024657235,0.000000,0.000000,0.0199284434
deepseek_pro_b002_P3_r1,5,A,seo,3,-0.0413138682,0.333333,0.000000,0.0606342274
deepseek_pro_b002_P3_r1,10,A,seo,3,0.1949659463,1.000000,0.333333,0.3510558953
deepseek_pro_b002_P3_r1,11,A,seo,3,-0.4931266012,1.000000,0.333333,0.9384346473
deepseek_pro_b002_P3_r1,13,A,seo,3,-0.0020516177,0.000000,0.000000,0.0151599007
deepseek_pro_b002_P3_r1,15,A,seo,3,-0.0050137055,0.000000,0.000000,0.0087644440
deepseek_pro_b002_P3_r1,16,A,seo,3,0.0000000000,0.000000,0.000000,0.0000000000
deepseek_pro_b004_P2_r1,1,A,seo,4,-0.0000499408,0.000000,0.000000,0.0001983535
deepseek_pro_b004_P2_r1,2,A,seo,4,-0.1173367206,0.500000,0.000000,0.3836296973
deepseek_pro_b004_P2_r1,3,A,seo,4,-0.0117043162,0.000000,0.000000,0.0460960046
deepseek_pro_b004_P2_r1,4,A,seo,4,-0.0039517325,0.000000,0.000000,0.0156533736
deepseek_pro_b004_P2_r1,5,A,seo,4,-0.0011474399,0.000000,0.000000,0.0045462375
deepseek_pro_b004_P2_r1,10,A,seo,4,-0.1881436675,0.500000,0.250000,0.5312684703
deepseek_pro_b004_P2_r1,11,A,seo,4,-0.8671719982,1.000000,1.000000,0.9999243654
deepseek_pro_b004_P2_r1,13,A,seo,4,0.0007083550,0.000000,0.000000,0.0028192481
deepseek_pro_b004_P2_r1,15,A,seo,4,0.0007384702,0.000000,0.000000,0.0029329759
deepseek_pro_b004_P2_r1,16,A,seo,4,-0.0688949155,0.250000,0.000000,0.2673439738
deepseek_pro_b007_P3_r2,1,A,seo,4,0.0011046568,0.000000,0.000000,0.0035369897
deepseek_pro_b007_P3_r2,2,A,seo,4,-0.0246056982,0.250000,0.000000,0.0541211298
deepseek_pro_b007_P3_r2,3,A,seo,4,-0.0336274439,0.250000,0.000000,0.0985294890
deepseek_pro_b007_P3_r2,4,A,seo,4,-0.0057885747,0.000000,0.000000,0.0151230054
deepseek_pro_b007_P3_r2,5,A,seo,4,0.0009882913,0.000000,0.000000,0.0035693892
deepseek_pro_b007_P3_r2,10,A,seo,4,-0.1023032249,0.750000,0.000000,0.2271109748
deepseek_pro_b007_P3_r2,11,A,seo,4,-0.9268521513,1.000000,1.000000,0.9971750843
deepseek_pro_b007_P3_r2,13,A,seo,4,0.0022555806,0.000000,0.000000,0.0063494493
deepseek_pro_b007_P3_r2,15,A,seo,4,0.0013339677,0.000000,0.000000,0.0038615264
deepseek_pro_b007_P3_r2,16,A,seo,4,-0.0559640404,0.250000,0.000000,0.1396134755
deepseek_pro_b009_P1_r1,1,A,seo,3,0.0000270567,0.000000,0.000000,0.0000810862
deepseek_pro_b009_P1_r1,2,A,seo,3,-0.0209338659,0.333333,0.000000,0.0562407163
deepseek_pro_b009_P1_r1,3,A,seo,3,-0.0439169858,0.333333,0.000000,0.1311826721
deepseek_pro_b009_P1_r1,4,A,seo,3,0.0008332822,0.000000,0.000000,0.0025025931
deepseek_pro_b009_P1_r1,5,A,seo,3,-0.0107020422,0.000000,0.000000,0.0320015117
deepseek_pro_b009_P1_r1,10,A,seo,3,-0.0556592514,0.333333,0.000000,0.1635742769
deepseek_pro_b009_P1_r1,11,A,seo,3,-0.9305975061,1.000000,1.000000,0.9999840768
deepseek_pro_b009_P1_r1,13,A,seo,3,-0.0058531023,0.000000,0.000000,0.0175421021
deepseek_pro_b009_P1_r1,15,A,seo,3,-0.0000239014,0.000000,0.000000,0.0000711818
deepseek_pro_b009_P1_r1,16,A,seo,3,-0.0422773102,0.333333,0.000000,0.1258750073
deepseek_pro_b009_P2_r2,1,A,seo,3,-0.0000064613,0.000000,0.000000,0.0000193319
deepseek_pro_b009_P2_r2,2,A,seo,3,-0.1491314979,0.333333,0.000000,0.4228911319
deepseek_pro_b009_P2_r2,3,A,seo,3,-0.0152832778,0.000000,0.000000,0.0451158317
