document_id,origin_class,genre,eligible_split_count,eligible_split_names
deepseek_pro_b002_P3_r1,A,seo,3,holdout_genre_seo;holdout_model_DeepSeek;holdout_prompt_P3
deepseek_pro_b004_P2_r1,A,seo,4,holdout_genre_seo;holdout_model_DeepSeek;holdout_prompt_P2;holdout_topic
deepseek_pro_b007_P3_r2,A,seo,4,holdout_genre_seo;holdout_model_DeepSeek;holdout_prompt_P3;holdout_topic
deepseek_pro_b009_P1_r1,A,seo,3,holdout_genre_seo;holdout_model_DeepSeek;holdout_prompt_P1
deepseek_pro_b009_P2_r2,A,seo,3,holdout_genre_seo;holdout_model_DeepSeek;holdout_prompt_P2
deepseek_pro_b021_P2_r2,A,analytics,3,holdout_genre_analytics;holdout_model_DeepSeek;holdout_prompt_P2
deepseek_pro_b037_P2_r2,A,commercial,4,holdout_genre_commercial;holdout_model_DeepSeek;holdout_prompt_P2;holdout_topic
deepseek_pro_b038_P1_r2,A,commercial,3,holdout_genre_commercial;holdout_model_DeepSeek;holdout_prompt_P1
gpt_b004_P1_r1,A,seo,4,holdout_genre_seo;holdout_model_OpenAI;holdout_prompt_P1;holdout_topic
gpt_b004_P3_r1,A,seo,4,holdout_genre_seo;holdout_model_OpenAI;holdout_prompt_P3;holdout_topic
gpt_b021_P3_r2,A,analytics,3,holdout_genre_analytics;holdout_model_OpenAI;holdout_prompt_P3
gpt_b026_P1_r1,A,analytics,4,holdout_genre_analytics;holdout_model_OpenAI;holdout_prompt_P1;holdout_topic
gpt_b028_P2_r1,A,analytics,4,holdout_genre_analytics;holdout_model_OpenAI;holdout_prompt_P2;holdout_topic
gpt_b031_P1_r1,A,commercial,3,holdout_genre_commercial;holdout_model_OpenAI;holdout_prompt_P1
gpt_b040_P2_r1,A,commercial,3,holdout_genre_commercial;holdout_model_OpenAI;holdout_prompt_P2
