split_name,document_id,transform_number,origin_class,generation_channel,prob_baseline,prob_transformed,delta_prob,applied_no_change,input_unchanged,features_match,sentinel_bound,status
holdout_genre_seo,deepseek_pro_b002_P3_r1,1,A,deepseek_pro,0.9384346476,0.9407176539,0.0022830063,0,0,0,2.508779e-06,ok
holdout_model_DeepSeek,deepseek_pro_b002_P3_r1,1,A,deepseek_pro,0.4467281403,0.4482006979,0.0014725576,0,0,0,1.647669e-06,ok
holdout_prompt_P3,deepseek_pro_b002_P3_r1,1,A,deepseek_pro,0.1059064841,0.1074145704,0.0015080864,0,0,0,1.697415e-06,ok
holdout_genre_seo,deepseek_pro_b004_P2_r1,1,A,deepseek_pro,0.9999996946,0.9999996852,-0.0000000094,0,0,0,1.416001e-11,ok
holdout_model_DeepSeek,deepseek_pro_b004_P2_r1,1,A,deepseek_pro,0.9535257519,0.9533273984,-0.0001983535,0,0,0,2.964288e-07,ok
holdout_prompt_P2,deepseek_pro_b004_P2_r1,1,A,deepseek_pro,0.9999996438,0.9999996381,-0.0000000057,0,0,0,8.510082e-12,ok
holdout_topic,deepseek_pro_b004_P2_r1,1,A,deepseek_pro,0.9998966880,0.9998952932,-0.0000013948,0,0,0,2.094197e-09,ok
holdout_genre_seo,deepseek_pro_b007_P3_r2,1,A,deepseek_pro,0.9971750847,0.9975711604,0.0003960757,0,0,0,1.089985e-07,ok
holdout_model_DeepSeek,deepseek_pro_b007_P3_r2,1,A,deepseek_pro,0.7683701424,0.7719071321,0.0035369897,0,0,0,1.172987e-06,ok
holdout_prompt_P3,deepseek_pro_b007_P3_r2,1,A,deepseek_pro,0.9993393880,0.9993999991,0.0000606111,0,0,0,1.061613e-08,ok
holdout_topic,deepseek_pro_b007_P3_r2,1,A,deepseek_pro,0.9921408218,0.9925657727,0.0004249508,0,0,0,1.475989e-07,ok
holdout_genre_seo,deepseek_pro_b009_P1_r1,1,A,deepseek_pro,0.9999993006,0.9999993034,0.0000000028,0,0,0,3.133571e-11,ok
holdout_model_DeepSeek,deepseek_pro_b009_P1_r1,1,A,deepseek_pro,0.8398306032,0.8399116895,0.0000810862,0,0,0,8.957970e-07,ok
holdout_prompt_P1,deepseek_pro_b009_P1_r1,1,A,deepseek_pro,0.9999653428,0.9999654238,0.0000000810,0,0,0,8.941295e-10,ok
holdout_genre_seo,deepseek_pro_b009_P2_r2,1,A,deepseek_pro,0.9999996684,0.9999996672,-0.0000000012,0,0,0,1.497080e-11,ok
holdout_model_DeepSeek,deepseek_pro_b009_P2_r2,1,A,deepseek_pro,0.9615669801,0.9615476482,-0.0000193319,0,0,0,2.463259e-07,ok
holdout_prompt_P2,deepseek_pro_b009_P2_r2,1,A,deepseek_pro,0.9999724825,0.9999724317,-0.0000000508,0,0,0,6.483414e-10,ok
holdout_genre_analytics,deepseek_pro_b021_P2_r2,1,A,deepseek_pro,0.9987461847,0.9987595887,0.0000134040,0,0,0,2.435100e-08,ok
holdout_model_DeepSeek,deepseek_pro_b021_P2_r2,1,A,deepseek_pro,0.9475340751,0.9477151106,0.0001810355,0,0,0,3.301189e-07,ok
holdout_prompt_P2,deepseek_pro_b021_P2_r2,1,A,deepseek_pro,0.9999503552,0.9999509903,0.0000006351,0,0,0,1.152567e-09,ok
holdout_genre_commercial,deepseek_pro_b037_P2_r2,1,A,deepseek_pro,0.9999948189,0.9999948037,-0.0000000153,0,0,0,8.816903e-11,ok
holdout_model_DeepSeek,deepseek_pro_b037_P2_r2,1,A,deepseek_pro,0.9886759743,0.9886630259,-0.0000129484,0,0,0,7.467269e-08,ok
holdout_prompt_P2,deepseek_pro_b037_P2_r2,1,A,deepseek_pro,1.0000000000,1.0000000000,-0.0000000000,0,0,0,2.220446e-16,ok
holdout_topic,deepseek_pro_b037_P2_r2,1,A,deepseek_pro,0.9999978183,0.9999978107,-0.0000000076,0,0,0,4.379230e-11,ok
holdout_genre_commercial,deepseek_pro_b038_P1_r2,1,A,deepseek_pro,0.9855448684,0.9854692562,-0.0000756122,0,0,0,2.429702e-07,ok
holdout_model_DeepSeek,deepseek_pro_b038_P1_r2,1,A,deepseek_pro,0.8299093935,0.8296157775,-0.0002936160,0,0,0,9.417220e-07,ok
holdout_prompt_P1,deepseek_pro_b038_P1_r2,1,A,deepseek_pro,0.9975401169,0.9975202385,-0.0000198784,0,0,0,6.396903e-08,ok
holdout_genre_seo,gpt_b004_P1_r1,1,A,gpt,0.9984377477,0.9984173366,-0.0000204110,0,0,0,7.108508e-08,ok
holdout_model_OpenAI,gpt_b004_P1_r1,1,A,gpt,0.5322813368,0.5314805487,-0.0008007881,0,0,0,2.771176e-06,ok
holdout_prompt_P1,gpt_b004_P1_r1,1,A,gpt,0.7280240480,0.7265416975,-0.0014823505,0,0,0,5.137949e-06,ok
holdout_topic,gpt_b004_P1_r1,1,A,gpt,0.7070796654,0.7058809317,-0.0011987337,0,0,0,4.152816e-06,ok
holdout_genre_seo,gpt_b004_P3_r1,1,A,gpt,0.9995901439,0.9995852400,-0.0000049039,0,0,0,1.865067e-08,ok
holdout_model_OpenAI,gpt_b004_P3_r1,1,A,gpt,0.5962582080,0.5955493885,-0.0007088195,0,0,0,2.680602e-06,ok
holdout_prompt_P3,gpt_b004_P3_r1,1,A,gpt,0.9412422960,0.9409827799,-0.0002595161,0,0,0,9.831852e-07,ok
holdout_topic,gpt_b004_P3_r1,1,A,gpt,0.7945858750,0.7937209842,-0.0008648907,0,0,0,3.274997e-06,ok
holdout_genre_analytics,gpt_b021_P3_r2,1,A,gpt,0.9985229709,0.9985231448,0.0000001739,0,0,0,2.898585e-08,ok
