procedure,estimand,contrast,input_type,population,unit,n_pairs,n_clusters,mean_diff_raw,convention_factor,sign_after_convention,ci_low_raw,ci_high_raw,p_value,status
1 — индекс стиля score-v2,full,P3-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,359,,-1.7655,1,−,-2.6639,-0.8773,0.0004,интервал ноль не накрывает
2 — классификатор P2b,full,P3-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,-0.0953,1,−,-0.1451,-0.0502,0.0014,интервал ноль не накрывает
3 — zero-shot nll-v2,full,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,359,45,0.1140,-1,−,0.0964,0.1313,0.0004,интервал ноль не накрывает
4 — модель-судья judge-v2,full,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,359,45,0.5153,1,+,0.1806,0.8552,0.0032,интервал ноль не накрывает
1 — индекс стиля score-v2,full,P2-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,360,,3.2812,1,+,2.0186,4.6068,0.0004,интервал ноль не накрывает
2 — классификатор P2b,full,P2-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0701,1,+,0.0492,0.0931,0.0002,интервал ноль не накрывает
3 — zero-shot nll-v2,full,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,360,45,0.0125,-1,−,-0.0065,0.0298,0.1988,"интервал накрывает ноль, статистически неразличимо"
4 — модель-судья judge-v2,full,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,360,45,0.5125,1,+,0.0181,1.0472,0.0392,"95% интервал ноль не накрывает, но p = 0.0392 выше α = 0.025 после поправки Бонферрони"
1 — индекс стиля score-v2,net,P3-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,359,,2.0264,1,+,0.8953,3.1429,0.0016,интервал ноль не накрывает
2 — классификатор P2b,net,P3-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0181,1,+,-0.0104,0.0486,0.2620,"интервал накрывает ноль, статистически неразличимо"
3 — zero-shot nll-v2,net,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,,,,-1,,,,,not available: estimand процедурой не операционализируется
4 — модель-судья judge-v2,net,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,,,,1,,,,,not available: estimand процедурой не операционализируется
1 — индекс стиля score-v2,net,P2-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,360,,-1.6860,1,−,-3.2913,-0.0343,0.0416,"95% интервал ноль не накрывает, но p = 0.0416 выше α = 0.025 после поправки Бонферрони"
2 — классификатор P2b,net,P2-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0812,1,+,0.0482,0.1121,0.0010,интервал ноль не накрывает
3 — zero-shot nll-v2,net,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,,,,-1,,,,,not available: estimand процедурой не операционализируется
4 — модель-судья judge-v2,net,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,,,,1,,,,,not available: estimand процедурой не операционализируется
