procedure,estimand,contrast,input_type,population,unit,n_pairs,n_clusters,mean_diff_raw,convention_factor,sign_after_convention,ci_low_raw,ci_high_raw,p_value,status
1 — индекс стиля score-v1,full,P3-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,359,,-1.9118,1,−,-2.8007,-1.0252,0.0004,интервал ноль не накрывает
2 — классификатор P2b,full,P3-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,-0.0765,1,−,-0.1237,-0.0354,0.0030,интервал ноль не накрывает
3 — zero-shot nll-v1,full,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,359,45,0.1140,-1,−,0.0964,0.1313,0.0004,интервал ноль не накрывает
4 — модель-судья judge-v1,full,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,359,45,0.5153,1,+,0.1806,0.8552,0.0032,интервал ноль не накрывает
1 — индекс стиля score-v1,full,P2-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,360,,3.1921,1,+,1.9434,4.5110,0.0004,интервал ноль не накрывает
2 — классификатор P2b,full,P2-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0806,1,+,0.0574,0.1066,0.0002,интервал ноль не накрывает
3 — zero-shot nll-v1,full,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,360,45,0.0125,-1,−,-0.0065,0.0298,0.1988,"интервал накрывает ноль, статистически неразличимо"
4 — модель-судья judge-v1,full,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,360,45,0.5125,1,+,0.0181,1.0472,0.0392,"95% интервал ноль не накрывает, но p = 0.0392 выше α = 0.025 после поправки Бонферрони"
1 — индекс стиля score-v1,net,P3-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,359,,1.8713,1,+,0.7675,2.9851,0.0020,интервал ноль не накрывает
2 — классификатор P2b,net,P3-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0161,1,+,-0.0187,0.0498,0.3786,"интервал накрывает ноль, статистически неразличимо"
3 — zero-shot nll-v1,net,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,,,,-1,,,,,not available: estimand процедурой не операционализируется
4 — модель-судья judge-v1,net,P3-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,,,,1,,,,,not available: estimand процедурой не операционализируется
1 — индекс стиля score-v1,net,P2-P1,"матрица признаков, веса заданы заранее","весь корпус, 45 заданий",пункты индекса 0–100,360,,-1.8011,1,−,-3.3782,-0.1635,0.0276,"95% интервал ноль не накрывает, но p = 0.0276 выше α = 0.025 после поправки Бонферрони"
2 — классификатор P2b,net,P2-P1,"та же матрица признаков, веса обучены по данным","только жанр seo, 15 заданий","вероятность класса A, 0–1",120,15,0.0834,1,+,0.0462,0.1202,0.0016,интервал ноль не накрывает
3 — zero-shot nll-v1,net,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",средний token NLL,,,,-1,,,,,not available: estimand процедурой не операционализируется
4 — модель-судья judge-v1,net,P2-P1,сырой текст профиля prose,"весь корпус, 45 заданий",шкала рубрики 0–100,,,,1,,,,,not available: estimand процедурой не операционализируется
