document_id,source,genre,false_positive,n_sentences,repeat_share,glued_per_1000w
human_seo_author_archive_0001,author_archive,seo,0,81,0.0,0.0
human_seo_author_archive_0002,author_archive,seo,0,126,0.0,0.0
human_seo_author_archive_0003,author_archive,seo,0,42,0.0,1.3928
human_seo_author_archive_0004,author_archive,seo,0,51,0.0,0.0
human_seo_author_archive_0005,author_archive,seo,0,56,0.0,0.0
human_seo_author_archive_0006,author_archive,seo,0,239,0.0,0.7065
human_news_lenta_0001,lenta,news,0,34,0.0,0.0
human_news_lenta_0002,lenta,news,0,43,0.0,3.9578
human_news_lenta_0003,lenta,news,1,60,0.8333,19.241
human_news_lenta_0004,lenta,news,0,32,0.0,0.0
human_news_lenta_0005,lenta,news,1,32,0.75,17.0604
human_news_lenta_0006,lenta,news,1,47,0.8511,14.3014
human_news_lenta_0007,lenta,news,0,9,0.0,0.0
human_news_lenta_0008,lenta,news,1,34,0.7647,32.596
human_news_lenta_0009,lenta,news,0,49,0.0,0.0
human_news_lenta_0010,lenta,news,0,78,0.0,0.0
human_news_lenta_0011,lenta,news,1,28,0.75,5.2083
human_news_lenta_0012,lenta,news,0,38,0.0,0.0
human_news_lenta_0013,lenta,news,0,45,0.0,0.0
human_news_lenta_0014,lenta,news,0,46,0.0,0.0
human_news_lenta_0015,lenta,news,0,33,0.0,1.355
human_news_lenta_0016,lenta,news,0,71,0.0,0.0
human_news_lenta_0017,lenta,news,0,89,0.0,0.0
human_news_lenta_0018,lenta,news,0,38,0.0,0.0
human_news_lenta_0019,lenta,news,1,37,0.8108,11.2676
human_news_lenta_0020,lenta,news,1,46,0.8478,10.9649
human_news_lenta_0021,lenta,news,0,61,0.0,0.0
human_news_lenta_0022,lenta,news,0,61,0.0,0.0
human_news_lenta_0023,lenta,news,0,36,0.0,0.0
human_news_lenta_0024,lenta,news,0,43,0.0,0.0
human_news_lenta_0025,lenta,news,1,42,0.881,21.025
human_news_lenta_0026,lenta,news,1,43,0.8372,19.0476
human_news_lenta_0027,lenta,news,0,42,0.0,1.2739
human_news_lenta_0028,lenta,news,1,46,0.8478,16.9312
human_news_lenta_0029,lenta,news,0,41,0.0,0.0
human_news_lenta_0030,lenta,news,1,17,0.5882,19.337
human_news_lenta_0031,lenta,news,1,30,0.7667,8.7549
human_news_lenta_0032,lenta,news,1,41,0.8049,14.6699
human_news_lenta_0033,lenta,news,1,44,0.8409,18.1818
human_news_lenta_0034,lenta,news,0,43,0.093,0.0
human_news_lenta_0035,lenta,news,1,37,0.7838,16.1638
human_news_lenta_0036,lenta,news,0,47,0.0,0.0
human_news_lenta_0037,lenta,news,1,44,0.8182,16.2214
human_news_lenta_0038,lenta,news,1,29,0.7586,16.1692
human_news_lenta_0039,lenta,news,0,21,0.0,0.0
human_news_lenta_0040,lenta,news,0,36,0.0,14.17
human_news_lenta_0041,lenta,news,0,38,0.0,0.0
human_news_lenta_0042,lenta,news,0,34,0.0,0.0
human_news_lenta_0043,lenta,news,1,31,0.7742,21.0674
human_news_lenta_0044,lenta,news,0,33,0.0,0.0
human_news_lenta_0045,lenta,news,0,39,0.0,1.0684
human_news_lenta_0046,lenta,news,0,42,0.0,0.0
human_news_lenta_0047,lenta,news,1,56,0.8571,14.1431
human_news_lenta_0048,lenta,news,1,51,0.7843,25.522
human_news_lenta_0049,lenta,news,0,41,0.0,1.4124
human_news_lenta_0050,lenta,news,1,36,0.7778,16.4474
human_news_lenta_0051,lenta,news,0,36,0.0,0.0
human_news_lenta_0052,lenta,news,1,42,0.8333,11.9522
human_news_lenta_0053,lenta,news,0,237,0.0,0.8385
human_news_lenta_0054,lenta,news,1,42,0.7857,15.2603
human_news_lenta_0055,lenta,news,0,53,0.0,0.0
human_news_lenta_0056,lenta,news,1,34,0.7941,27.0968
human_news_lenta_0057,lenta,news,1,38,0.7632,11.3043
human_news_lenta_0058,lenta,news,1,33,0.7879,15.8192
human_news_lenta_0059,lenta,news,1,39,0.7949,13.986
human_news_lenta_0060,lenta,news,1,39,0.8462,7.5188
human_science_cyberleninka_0001,cyberleninka,science,0,165,0.0,0.0
human_science_cyberleninka_0002,cyberleninka,science,1,117,0.0,0.0
human_science_cyberleninka_0003,cyberleninka,science,0,83,0.0,0.0
human_science_cyberleninka_0004,cyberleninka,science,0,59,0.0,0.0
human_science_cyberleninka_0005,cyberleninka,science,0,46,0.0,0.0
human_science_cyberleninka_0006,cyberleninka,science,1,43,0.0,0.0
human_science_cyberleninka_0007,cyberleninka,science,1,32,0.0,0.0
human_science_cyberleninka_0008,cyberleninka,science,0,121,0.0,0.0
human_science_cyberleninka_0009,cyberleninka,science,1,63,0.0,0.0
human_science_cyberleninka_0010,cyberleninka,science,0,31,0.0,0.0
human_science_cyberleninka_0011,cyberleninka,science,0,48,0.0833,0.0
human_science_cyberleninka_0013,cyberleninka,science,1,75,0.0,0.0
human_science_cyberleninka_0014,cyberleninka,science,0,247,0.0,0.0
human_science_cyberleninka_0015,cyberleninka,science,0,75,0.0,0.0
human_science_cyberleninka_0016,cyberleninka,science,0,76,0.0,0.0
human_science_cyberleninka_0017,cyberleninka,science,0,43,0.0,6.1983
human_science_cyberleninka_0018,cyberleninka,science,1,93,0.0,0.0
human_science_cyberleninka_0019,cyberleninka,science,1,72,0.0,0.0
human_science_cyberleninka_0020,cyberleninka,science,0,113,0.0,0.0
human_science_cyberleninka_0021,cyberleninka,science,1,115,0.0,0.0
